t,amk_temp_igbt_right,amk_error_info_right,amk_temp_inverter_right,amk_temp_motor_right
1751195524.846600,22.300000,0.000000,22.300000,-93.000000
1751195524.856850,22.300000,0.000000,22.300000,-90.500000
1751195524.866600,22.400000,0.000000,22.400000,-88.000000
1751195524.876600,22.400000,0.000000,22.400000,-85.600000
1751195524.886650,22.400000,0.000000,22.400000,-83.200000
1751195524.896600,22.400000,0.000000,22.400000,-80.900000
1751195524.906850,22.400000,0.000000,22.400000,-78.600000
1751195524.916650,22.400000,0.000000,22.400000,-76.300000
1751195524.926600,22.400000,0.000000,22.400000,-74.100000
1751195524.936600,22.500000,0.000000,22.500000,-72.000000
1751195524.946600,22.500000,0.000000,22.500000,-69.900000
1751195524.956600,22.500000,0.000000,22.500000,-67.800000
1751195524.966600,22.500000,0.000000,22.500000,-65.800000
1751195524.976600,22.500000,0.000000,22.500000,-63.800000
1751195524.986600,22.500000,0.000000,22.500000,-61.800000
1751195524.996600,22.500000,0.000000,22.500000,-59.900000
1751195525.006850,22.600000,0.000000,22.600000,-58.100000
1751195525.016600,22.600000,0.000000,22.600000,-56.200000
1751195525.026600,22.600000,0.000000,22.600000,-54.400000
1751195525.036600,22.600000,0.000000,22.600000,-52.700000
1751195525.046600,22.600000,0.000000,22.600000,-50.900000
1751195525.056850,22.600000,0.000000,22.600000,-49.200000
1751195525.066600,22.600000,0.000000,22.600000,-47.500000
1751195525.076650,22.600000,0.000000,22.600000,-45.900000
1751195525.086600,22.700000,0.000000,22.700000,-44.400000
1751195525.096600,22.700000,0.000000,22.700000,-42.700000
1751195525.106850,22.700000,0.000000,22.700000,-41.200000
1751195525.116600,22.700000,0.000000,22.700000,-39.700000
1751195525.126600,22.700000,0.000000,22.700000,-38.300000
1751195525.136600,22.700000,0.000000,22.700000,-36.900000
1751195525.146600,22.700000,0.000000,22.700000,-35.500000
1751195525.156750,22.700000,0.000000,22.700000,-34.100000
1751195525.166650,22.800000,0.000000,22.800000,-32.700000
1751195525.176600,22.800000,0.000000,22.800000,-31.400000
1751195525.186600,22.800000,0.000000,22.800000,-30.100000
1751195525.196600,22.800000,0.000000,22.800000,-28.800000
1751195525.206650,22.800000,0.000000,22.800000,-27.500000
1751195525.216600,22.800000,0.000000,22.800000,-26.300000
1751195525.226600,22.800000,0.000000,22.800000,-25.000000
1751195525.236600,22.800000,0.000000,22.800000,-23.900000
1751195525.246600,22.900000,0.000000,22.900000,-22.700000
1751195525.256750,22.900000,0.000000,22.900000,-21.700000
1751195525.266600,22.900000,0.000000,22.900000,-20.500000
1751195525.276600,22.900000,0.000000,22.900000,-19.400000
1751195525.286600,22.900000,0.000000,22.900000,-18.400000
1751195525.296600,22.900000,0.000000,22.900000,-17.300000
1751195525.306700,22.900000,0.000000,22.900000,-16.300000
1751195525.316600,22.900000,0.000000,22.900000,-15.200000
1751195525.326600,23.000000,0.000000,23.000000,-14.300000
1751195525.336600,23.000000,0.000000,23.000000,-13.300000
1751195525.346600,23.000000,0.000000,23.000000,-12.400000
1751195525.356850,23.000000,0.000000,23.000000,-11.500000
1751195525.366600,23.000000,0.000000,23.000000,-10.500000
1751195525.376600,23.000000,0.000000,23.000000,-9.600000
1751195525.386600,23.000000,0.000000,23.000000,-8.800000
1751195525.396600,23.000000,0.000000,23.000000,-8.000000
1751195525.406700,23.100000,0.000000,23.100000,-7.100000
1751195525.416600,23.100000,0.000000,23.100000,-6.300000
1751195525.426600,23.100000,0.000000,23.100000,-5.500000
1751195525.436600,23.100000,0.000000,23.100000,-4.700000
