t,Daughter_3_T_8,Daughter_3_T_7,Daughter_3_T_6,Daughter_3_T_5,Daughter_3_T_4,Daughter_3_T_3,Daughter_3_T_2,Daughter_3_T_1
1751195521.175800,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195521.228350,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195521.280850,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,30.500000
1751195521.322100,30.500000,30.500000,31.000000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195521.374650,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195521.427200,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195521.479700,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195521.573400,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195521.625850,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195521.678450,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195521.772200,30.500000,30.500000,31.000000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195521.824700,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195521.877300,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195521.929850,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195521.971050,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195522.023500,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195522.075950,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195522.128550,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195522.222300,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195522.274800,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195522.327250,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195522.379800,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195522.421000,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195522.473500,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,30.500000
1751195522.525950,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195522.578500,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195522.672250,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195522.724750,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195522.777200,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195522.829750,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195522.923450,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195522.975900,30.500000,30.500000,31.000000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195523.028450,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195523.122200,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195523.174650,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195523.227250,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195523.279800,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195523.321000,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195523.373450,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195523.425950,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195523.478500,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,30.500000
1751195523.531000,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195523.572250,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195523.624750,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195523.677350,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,30.500000
1751195523.729900,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195523.771100,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
1751195523.823550,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,31.000000
