t,ams_voltage_max_8,ams_voltage_max_7,ams_voltage_max_6,ams_voltage_max_5,ams_voltage_max_4,ams_voltage_max_3,ams_voltage_max_2,ams_voltage_max_1
1751195521.450800,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.462050,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.473300,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.492000,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.503350,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.514600,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.533250,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.544500,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.555800,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.567100,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.585700,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.597000,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.608250,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.619550,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.638200,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.649450,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.660750,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.672000,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.690750,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.702050,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.713300,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.724600,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.743250,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.754500,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.765800,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.784550,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.795800,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.807100,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.818350,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.837000,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.848300,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.859600,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.870850,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.889600,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.912100,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.923450,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.942150,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.953450,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.964700,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.983350,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.994650,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.005900,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.017200,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.035800,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.047100,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.058400,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.069650,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.088300,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.040000
1751195522.099600,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.110850,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.040000
1751195522.122100,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.152150,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.163400,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.174700,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.193350,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.204600,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.215900,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.234600,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.245900,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.257150,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.268450,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.287100,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.298350,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.309650,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.339600,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.362150,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.373400,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.392100,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.403400,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.414700,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.433300,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.444600,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.455900,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.467150,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.485800,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.497050,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.508350,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.519600,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.538250,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.549550,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195522.560800,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
