t,Cell_Voltage_064,Cell_Voltage_063,Cell_Voltage_062,Cell_Voltage_061,Cell_Voltage_060,Cell_Voltage_059,Cell_Voltage_058,Cell_Voltage_057
1751195521.171500,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
1751195521.224050,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
1751195521.276550,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.030000,4.020000
1751195521.317800,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.030000,4.020000
1751195521.370350,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
1751195521.422900,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
1751195521.475400,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
1751195521.516700,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
1751195521.569200,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
1751195521.621600,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
1751195521.674150,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
1751195521.726700,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
1751195521.767900,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
1751195521.820500,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.030000,4.020000
1751195521.873000,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.030000,4.020000
1751195521.925550,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
1751195521.966850,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
1751195522.019300,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.030000,4.020000
1751195522.071700,4.030000,4.030000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
1751195522.124250,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
1751195522.176800,4.030000,4.030000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
1751195522.218000,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.030000,4.020000
1751195522.270550,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.030000,4.020000
1751195522.322950,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.030000,4.020000
1751195522.375550,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
1751195522.416800,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.030000,4.020000
1751195522.469300,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.030000,4.020000
1751195522.521650,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
1751195522.574200,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.030000,4.020000
1751195522.626750,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.030000,4.020000
1751195522.667950,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
1751195522.720500,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.030000,4.020000
1751195522.772900,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
1751195522.825450,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.030000,4.020000
1751195522.866750,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.030000,4.020000
1751195522.919200,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.030000,4.020000
1751195522.971600,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.030000,4.020000
1751195523.024150,4.030000,4.020000,4.030000,4.030000,4.030000,4.030000,4.020000,4.020000
