t,Daughter_9_T_8,Daughter_9_T_7,Daughter_9_T_6,Daughter_9_T_5,Daughter_9_T_4,Daughter_9_T_3,Daughter_9_T_2,Daughter_9_T_1
1751195521.177200,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.000000
1751195521.229750,31.000000,31.000000,31.500000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195521.282300,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195521.323550,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195521.376050,31.000000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195521.428600,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195521.522350,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195521.574800,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195521.627300,31.000000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195521.679850,31.000000,31.000000,31.500000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195521.732350,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.000000
1751195521.773650,31.000000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195521.826150,31.000000,31.000000,31.000000,31.500000,31.000000,31.000000,31.000000,31.000000
1751195521.878700,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195521.931150,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.000000
1751195521.972450,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195522.024950,31.000000,31.000000,31.500000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195522.077400,31.000000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195522.129950,31.000000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195522.182450,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.000000
1751195522.223700,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195522.276200,31.500000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195522.328650,31.500000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195522.381150,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195522.422400,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.000000
1751195522.474900,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195522.527350,31.000000,31.000000,31.500000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195522.579950,31.000000,31.000000,31.500000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195522.632400,31.500000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195522.673700,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.000000
1751195522.726150,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195522.778650,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195522.831100,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195522.872400,31.000000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195522.924850,31.000000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195522.977300,31.500000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195523.029850,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195523.082350,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195523.123650,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195523.176100,31.500000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195523.228650,31.000000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195523.281150,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.000000
1751195523.322400,31.500000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195523.374900,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.000000
1751195523.427350,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.000000
1751195523.479900,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.000000
1751195523.532400,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195523.573700,31.000000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195523.626200,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.000000
1751195523.678750,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195523.731250,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.000000
1751195523.772500,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195523.825000,31.500000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195523.877450,31.500000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195523.930000,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195523.982500,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.000000
1751195524.023750,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195524.076250,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.000000
1751195524.128800,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195524.181250,31.000000,31.000000,31.500000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195524.222550,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195524.275000,31.000000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195524.327500,31.000000,31.000000,31.500000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195524.380050,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.000000
1751195524.432550,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.000000
1751195524.473700,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195524.526200,31.000000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195524.578650,31.000000,31.000000,31.500000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195524.631150,31.000000,31.000000,31.500000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195524.672400,31.500000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195524.724900,31.500000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195524.777350,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195524.829950,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.000000
1751195524.882400,31.000000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195524.923700,31.500000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195524.976100,31.000000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195525.028650,31.000000,31.000000,31.500000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195525.081050,31.500000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195525.122350,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195525.174800,31.000000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195525.227300,31.500000,31.000000,31.500000,31.500000,31.500000,31.500000,31.000000,31.500000
1751195525.279900,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.000000
1751195525.332300,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195525.373600,31.000000,31.000000,31.000000,31.500000,31.000000,31.500000,31.000000,31.500000
1751195525.426100,31.000000,31.000000,31.500000,31.500000,31.000000,31.500000,31.000000,31.500000
