t,Daughter_2_T_8,Daughter_2_T_7,Daughter_2_T_6,Daughter_2_T_5,Daughter_2_T_4,Daughter_2_T_3,Daughter_2_T_2,Daughter_2_T_1
1751195521.175550,30.000000,30.000000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195521.228100,30.000000,30.000000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195521.280600,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,31.000000
1751195521.321850,30.000000,30.000000,30.500000,30.500000,30.000000,30.500000,30.000000,31.000000
1751195521.374400,30.500000,30.500000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195521.426950,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,31.000000
1751195521.479500,30.000000,30.000000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195521.520750,30.000000,30.000000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195521.573150,30.000000,30.000000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195521.625650,30.500000,30.500000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195521.678200,30.000000,30.000000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195521.730750,30.000000,30.000000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195521.772000,30.500000,30.500000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195521.824450,30.000000,30.000000,30.500000,30.500000,30.000000,30.500000,30.000000,31.000000
1751195521.877050,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,31.000000
1751195521.929600,30.500000,30.500000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195522.023250,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,31.000000
1751195522.075750,30.500000,30.500000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195522.128300,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,31.000000
1751195522.180900,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,31.000000
1751195522.222100,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,31.000000
1751195522.274550,30.500000,30.500000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195522.327050,30.000000,30.000000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195522.379600,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,31.000000
1751195522.473250,30.000000,30.000000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195522.525750,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,31.000000
1751195522.578300,30.500000,30.000000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195522.630850,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,31.000000
1751195522.672050,30.000000,30.000000,30.500000,30.500000,30.000000,30.500000,30.000000,31.000000
1751195522.724500,30.000000,30.000000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195522.777000,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,31.000000
1751195522.829550,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,31.000000
1751195522.870800,30.000000,30.000000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195522.923200,30.000000,30.000000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195522.975650,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,31.000000
1751195523.028250,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,31.000000
1751195523.080800,30.000000,30.000000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195523.122000,30.000000,30.000000,30.500000,30.500000,30.000000,30.500000,30.000000,31.000000
1751195523.174450,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,31.000000
1751195523.227000,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,30.500000,31.000000
1751195523.279600,30.500000,30.500000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
1751195523.373250,30.500000,30.500000,30.500000,30.500000,30.000000,30.500000,30.500000,31.000000
