t,ams_temp_min_8,ams_temp_min_7,ams_temp_min_6,ams_temp_min_5,ams_temp_min_4,ams_temp_min_3,ams_temp_min_2,ams_temp_min_1
1751195521.174600,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195521.227150,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195521.279700,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195521.320950,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195521.373500,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195521.426050,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195521.478550,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195521.519850,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195521.572250,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195521.624700,31.000000,31.000000,31.000000,31.000000,30.500000,30.500000,30.000000,30.000000
1751195521.677300,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195521.729850,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195521.771050,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195521.823550,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195521.876150,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195521.928700,31.000000,31.000000,30.500000,31.000000,30.500000,30.500000,30.000000,30.000000
1751195521.969950,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195522.022350,31.000000,31.000000,30.500000,31.000000,30.500000,30.500000,30.500000,30.000000
1751195522.074800,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195522.127400,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195522.179950,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195522.221150,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195522.273600,31.000000,31.000000,30.500000,31.000000,30.500000,30.500000,30.000000,30.000000
1751195522.326100,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195522.378650,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195522.419950,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195522.472300,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195522.524800,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195522.577350,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195522.629900,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195522.671100,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195522.723550,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195522.776050,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195522.828600,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195522.869850,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195522.922250,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195522.974750,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195523.027300,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195523.079850,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195523.121050,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195523.173500,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195523.226050,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195523.278650,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195523.319950,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195523.372300,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195523.424800,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195523.477350,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195523.529900,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195523.571100,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195523.623600,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195523.676200,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195523.728750,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195523.770000,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195523.822400,31.000000,31.000000,30.500000,31.000000,30.500000,30.500000,30.500000,30.000000
1751195523.874850,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195523.927450,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195523.980000,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195524.021200,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195524.073650,31.000000,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000
1751195524.126200,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195524.178750,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195524.220050,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195524.272450,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195524.324900,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195524.377500,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195524.430000,31.000000,31.000000,31.000000,31.000000,30.500000,30.500000,30.000000,30.000000
1751195524.471150,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195524.523600,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195524.576100,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195524.628650,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195524.669900,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195524.722300,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195524.774800,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195524.827350,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195524.879900,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195524.921100,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195524.973550,31.000000,31.000000,30.500000,31.000000,30.500000,30.500000,30.500000,30.000000
1751195525.026050,31.000000,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000
1751195525.078600,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195525.119850,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195525.172250,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195525.224700,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195525.277300,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195525.329800,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195525.371000,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195525.423500,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195525.476000,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195525.528550,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195525.569800,31.000000,31.000000,30.500000,31.000000,30.500000,30.500000,30.000000,30.000000
1751195525.622200,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195525.674600,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195525.727150,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195525.779750,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195525.820950,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195525.873450,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195525.926000,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195525.978600,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195526.019850,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195526.072200,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195526.124700,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195526.177250,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195526.229800,31.000000,31.000000,30.500000,31.000000,30.500000,30.500000,30.500000,30.000000
1751195526.271000,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195526.323450,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195526.375950,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195526.428500,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195526.469750,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195526.522150,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195526.574600,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195526.627150,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195526.679700,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195526.720900,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195526.773400,31.000000,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.000000
1751195526.825950,31.000000,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000
1751195526.878550,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.000000,30.000000
1751195526.919850,31.000000,31.000000,30.500000,30.500000,30.500000,30.500000,30.500000,30.000000
