t,ams_voltage_min_9
1751195522.946800,2.820000
1751195522.958050,2.790000
1751195522.969350,2.820000
1751195522.988000,2.840000
1751195522.999250,2.790000
1751195523.010550,2.820000
1751195523.021800,2.810000
1751195523.040550,2.820000
1751195523.051800,2.810000
1751195523.063100,2.800000
1751195523.074350,2.840000
1751195523.093000,2.810000
1751195523.104300,2.810000
1751195523.115550,2.810000
1751195523.134300,2.820000
1751195523.145550,2.800000
1751195523.156850,2.810000
1751195523.168100,2.800000
1751195523.186750,2.770000
1751195523.198050,2.810000
1751195523.209300,2.820000
1751195523.220600,2.810000
1751195523.239350,2.800000
1751195523.250600,2.820000
1751195523.261900,2.830000
1751195523.273200,2.830000
1751195523.291900,2.820000
1751195523.303200,2.830000
1751195523.314500,2.810000
1751195523.333100,2.820000
1751195523.344350,2.840000
1751195523.355650,2.820000
1751195523.366900,2.850000
1751195523.385550,2.820000
1751195523.396850,2.840000
1751195523.408100,2.820000
1751195523.419400,2.830000
1751195523.438050,2.830000
1751195523.449300,2.820000
1751195523.460550,2.820000
1751195523.471850,2.820000
1751195523.490600,2.830000
1751195523.501850,2.820000
1751195523.513150,2.830000
1751195523.524400,2.820000
1751195523.543100,2.820000
1751195523.554350,2.850000
1751195523.565600,2.830000
1751195523.584350,2.830000
1751195523.595650,2.830000
1751195523.606950,2.830000
1751195523.618200,2.820000
1751195523.636850,2.840000
1751195523.648150,2.820000
1751195523.659400,2.830000
1751195523.689400,2.840000
1751195523.700700,2.820000
1751195523.712000,2.830000
1751195523.723250,2.820000
1751195523.741950,2.840000
1751195523.753250,2.840000
1751195523.764550,2.830000
1751195523.783150,2.820000
1751195523.794450,2.830000
1751195523.805750,2.820000
1751195523.817000,2.830000
1751195523.835650,2.850000
1751195523.846900,2.840000
1751195523.858200,2.840000
1751195523.869500,2.820000
1751195523.888100,2.830000
1751195523.899400,2.830000
1751195523.921950,2.850000
1751195523.940650,2.840000
1751195523.951950,2.830000
1751195523.963250,2.830000
1751195523.974500,2.830000
1751195523.993150,2.830000
1751195524.004400,2.830000
1751195524.015700,2.830000
1751195524.034400,2.830000
1751195524.045700,2.840000
1751195524.057000,2.840000
1751195524.068250,2.840000
1751195524.086900,2.840000
1751195524.098200,2.850000
1751195524.109450,2.840000
1751195524.139500,2.840000
1751195524.162000,2.830000
1751195524.173300,2.850000
1751195524.192050,2.830000
1751195524.203300,2.830000
1751195524.214600,2.820000
1751195524.233250,2.840000
1751195524.244500,2.840000
1751195524.255800,2.830000
1751195524.267050,2.820000
1751195524.285700,2.840000
1751195524.296950,2.820000
1751195524.308250,2.830000
1751195524.319500,2.810000
1751195524.338200,2.820000
1751195524.349450,2.830000
1751195524.372000,2.830000
1751195524.402000,2.820000
1751195524.413300,2.840000
1751195524.424550,2.830000
1751195524.443200,2.830000
1751195524.454500,2.830000
1751195524.465750,2.840000
1751195524.484400,2.840000
1751195524.495650,2.840000
1751195524.506950,2.830000
1751195524.518200,2.840000
1751195524.536850,2.830000
1751195524.548150,2.830000
1751195524.559400,2.840000
1751195524.570700,2.830000
1751195524.589300,2.830000
1751195524.600600,2.830000
1751195524.611900,2.830000
1751195524.623150,2.810000
1751195524.641900,2.830000
1751195524.653150,2.840000
1751195524.664450,2.820000
1751195524.683100,2.820000
1751195524.694350,2.810000
1751195524.705650,2.820000
1751195524.716900,2.820000
1751195524.735600,2.810000
1751195524.746850,2.840000
1751195524.758100,2.830000
1751195524.769400,2.840000
1751195524.788000,2.810000
1751195524.799300,2.830000
1751195524.810600,2.840000
1751195524.821850,2.830000
1751195524.840600,2.830000
1751195524.851850,2.830000
1751195524.863150,2.840000
1751195524.874400,2.840000
1751195524.893050,2.850000
1751195524.904350,2.830000
1751195524.915600,2.830000
1751195524.934350,2.840000
1751195524.945600,2.830000
1751195524.956900,2.830000
1751195524.968150,2.830000
1751195524.986800,2.820000
1751195524.998100,2.840000
1751195525.009350,2.840000
1751195525.020650,2.830000
1751195525.039300,2.830000
1751195525.050550,2.820000
1751195525.061850,2.810000
1751195525.073100,2.820000
1751195525.091850,2.830000
1751195525.103100,2.830000
1751195525.114400,2.850000
1751195525.133050,2.840000
1751195525.144300,2.840000
1751195525.155600,2.830000
1751195525.166850,2.840000
1751195525.185500,2.820000
1751195525.196800,2.840000
1751195525.208050,2.830000
1751195525.219350,2.840000
1751195525.238000,2.850000
1751195525.249250,2.840000
1751195525.260500,2.860000
1751195525.271800,2.840000
1751195525.290550,2.850000
1751195525.301800,2.840000
1751195525.313100,2.870000
1751195525.324350,2.830000
1751195525.343000,2.850000
1751195525.354300,2.840000
1751195525.365550,2.830000
1751195525.384250,2.850000
1751195525.395550,2.850000
1751195525.406850,2.850000
1751195525.418100,2.840000
1751195525.436750,2.850000
1751195525.448050,2.850000
1751195525.459300,2.850000
1751195525.470600,2.850000
1751195525.489250,2.870000
1751195525.500500,2.830000
1751195525.511800,2.840000
1751195525.523050,2.840000
1751195525.541800,2.840000
1751195525.553050,2.860000
1751195525.564350,2.850000
1751195525.583000,2.840000
1751195525.594250,2.850000
1751195525.605550,2.830000
1751195525.616800,2.840000
1751195525.635450,2.830000
1751195525.646700,2.850000
1751195525.657950,2.850000
1751195525.669250,2.840000
1751195525.687900,2.840000
1751195525.699150,2.860000
1751195525.710450,2.850000
1751195525.721700,2.840000
1751195525.740400,2.850000
1751195525.751700,2.850000
1751195525.763000,2.850000
1751195525.774250,2.850000
1751195525.792900,2.860000
1751195525.804150,2.860000
1751195525.815450,2.860000
1751195525.834200,2.850000
1751195525.845450,2.850000
1751195525.856750,2.850000
1751195525.868050,2.840000
1751195525.886700,2.850000
1751195525.897950,2.850000
1751195525.909200,2.850000
1751195525.920450,2.830000
1751195525.939250,2.850000
1751195525.950550,2.860000
1751195525.961800,2.860000
1751195525.973100,2.860000
1751195525.991800,2.820000
1751195526.003100,2.840000
1751195526.014350,2.830000
1751195526.033000,2.830000
1751195526.044250,2.850000
1751195526.055550,2.840000
1751195526.066850,2.820000
1751195526.085450,2.840000
1751195526.096750,2.830000
1751195526.108050,2.830000
1751195526.119300,2.820000
1751195526.137950,2.830000
1751195526.149250,2.840000
1751195526.160500,2.840000
1751195526.171800,2.840000
1751195526.190500,2.840000
1751195526.201750,2.830000
1751195526.213050,2.830000
1751195526.224300,2.850000
1751195526.243000,2.830000
1751195526.254250,2.840000
1751195526.265550,2.840000
1751195526.284250,2.850000
1751195526.295550,2.850000
1751195526.306800,2.840000
1751195526.318100,2.830000
1751195526.336750,2.830000
1751195526.348000,2.840000
1751195526.359300,2.860000
1751195526.370550,2.850000
1751195526.389200,2.850000
1751195526.400450,2.830000
1751195526.411750,2.830000
1751195526.423000,2.820000
1751195526.441750,2.830000
1751195526.453000,2.840000
1751195526.464300,2.850000
1751195526.482950,2.820000
1751195526.494250,2.850000
1751195526.505500,2.840000
1751195526.516750,2.840000
1751195526.535400,2.840000
1751195526.546700,2.840000
1751195526.557950,2.850000
1751195526.569200,2.830000
1751195526.587900,2.860000
1751195526.599150,2.850000
1751195526.610400,2.850000
1751195526.621650,2.860000
1751195526.640400,2.840000
1751195526.651700,2.860000
1751195526.662950,2.850000
1751195526.674250,2.860000
1751195526.692900,2.860000
1751195526.704150,2.850000
1751195526.715450,2.860000
1751195526.734150,2.860000
1751195526.745450,2.840000
1751195526.756700,2.840000
1751195526.768000,2.860000
1751195526.786650,2.850000
1751195526.797900,2.880000
1751195526.809200,2.850000
1751195526.820450,2.840000
1751195526.839250,2.870000
1751195526.850500,2.850000
1751195526.861800,2.850000
1751195526.873100,2.850000
1751195526.891800,2.860000
1751195526.903100,2.850000
1751195526.914350,2.850000
1751195526.933000,2.860000
1751195526.944250,2.860000
1751195526.955550,2.870000
1751195526.966850,2.850000
1751195526.985450,2.850000
1751195526.996750,2.870000
1751195527.008050,2.860000
1751195527.019300,2.860000
1751195527.037950,2.860000
1751195527.049200,2.850000
1751195527.060500,2.870000
1751195527.071800,2.860000
1751195527.090500,2.860000
1751195527.101800,2.860000
1751195527.113050,2.850000
1751195527.124350,2.860000
1751195527.142950,2.840000
1751195527.154250,2.850000
1751195527.165550,2.840000
1751195527.184250,2.840000
1751195527.195550,2.840000
1751195527.206800,2.860000
1751195527.218100,2.830000
1751195527.236700,2.840000
1751195527.248000,2.840000
1751195527.259300,2.840000
1751195527.270550,2.840000
1751195527.289200,2.870000
1751195527.300450,2.850000
1751195527.311750,2.850000
1751195527.323050,2.850000
1751195527.341750,2.870000
1751195527.353050,2.840000
1751195527.364300,2.840000
1751195527.382950,2.860000
1751195527.394200,2.840000
1751195527.405500,2.870000
1751195527.416750,2.850000
1751195527.435400,2.850000
1751195527.446700,2.860000
1751195527.457950,2.860000
1751195527.469200,2.830000
1751195527.487850,2.860000
1751195527.499150,2.860000
1751195527.510400,2.860000
1751195527.521650,2.860000
1751195527.540400,2.870000
1751195527.551700,2.840000
1751195527.563000,2.850000
1751195527.574250,2.880000
1751195527.592900,2.830000
1751195527.604200,2.850000
1751195527.615450,2.830000
1751195527.634200,2.850000
1751195527.645450,2.860000
1751195527.656700,2.850000
1751195527.668000,2.850000
1751195527.686650,2.850000
1751195527.697900,2.870000
1751195527.709200,2.850000
1751195527.720450,2.850000
1751195527.739250,2.850000
1751195527.750500,2.840000
1751195527.761800,2.850000
1751195527.773050,2.870000
1751195527.791800,2.840000
1751195527.803050,2.860000
1751195527.814350,2.850000
1751195527.833000,2.850000
1751195527.844250,2.860000
1751195527.855550,2.840000
1751195527.866800,2.870000
1751195527.885450,2.860000
1751195527.896750,2.860000
1751195527.908000,2.880000
1751195527.919300,2.860000
1751195527.937950,2.860000
1751195527.949200,2.870000
1751195527.960450,2.850000
1751195527.971750,2.880000
1751195527.990500,2.870000
1751195528.001750,2.860000
1751195528.013050,2.880000
1751195528.024300,2.900000
1751195528.042950,2.870000
1751195528.054200,2.860000
1751195528.065500,2.870000
1751195528.084250,2.870000
1751195528.095500,2.860000
1751195528.106800,2.860000
1751195528.118050,2.860000
1751195528.136650,2.860000
1751195528.148000,2.860000
1751195528.159250,2.870000
1751195528.170550,2.870000
1751195528.189150,2.840000
1751195528.200450,2.870000
1751195528.211750,2.850000
1751195528.223000,2.880000
1751195528.241750,2.860000
1751195528.253000,2.870000
1751195528.264300,2.860000
1751195528.282950,2.870000
1751195528.294200,2.880000
1751195528.305500,2.880000
1751195528.316750,2.870000
1751195528.335400,2.880000
1751195528.346700,2.870000
1751195528.357950,2.860000
1751195528.369200,2.870000
1751195528.387850,2.850000
1751195528.399150,2.860000
1751195528.410400,2.870000
1751195528.421700,2.870000
1751195528.440450,2.860000
1751195528.451700,2.870000
1751195528.463000,2.860000
1751195528.474250,2.830000
1751195528.492900,2.870000
1751195528.504200,2.850000
1751195528.515450,2.870000
1751195528.534200,2.870000
1751195528.545450,2.830000
1751195528.556750,2.870000
1751195528.568000,2.860000
1751195528.586650,2.860000
1751195528.597950,2.860000
1751195528.609200,2.870000
1751195528.620500,2.860000
1751195528.639100,2.870000
1751195528.650400,2.850000
1751195528.661700,2.890000
1751195528.672950,2.870000
1751195528.691700,2.850000
1751195528.702950,2.860000
1751195528.714250,2.870000
1751195528.732900,2.870000
1751195528.744150,2.870000
1751195528.755450,2.860000
1751195528.766700,2.870000
1751195528.785350,2.870000
1751195528.796600,2.860000
1751195528.807900,2.850000
1751195528.819200,2.870000
1751195528.837800,2.850000
1751195528.849050,2.870000
1751195528.860400,2.860000
1751195528.871650,2.850000
1751195528.890350,2.850000
1751195528.901650,2.860000
1751195528.912900,2.870000
1751195528.924200,2.870000
1751195528.942850,2.860000
1751195528.954100,2.870000
1751195528.965350,2.850000
1751195528.984100,2.870000
1751195528.995350,2.870000
1751195529.006650,2.870000
1751195529.017900,2.860000
1751195529.036550,2.880000
1751195529.047850,2.880000
1751195529.059150,2.870000
1751195529.070400,2.890000
1751195529.089150,2.890000
1751195529.100450,2.850000
1751195529.111700,2.870000
1751195529.123000,2.860000
1751195529.141700,2.860000
1751195529.153000,2.880000
1751195529.164300,2.860000
1751195529.182900,2.880000
1751195529.194200,2.860000
1751195529.205450,2.860000
