t,Cell_Voltage_016,Cell_Voltage_015,Cell_Voltage_014,Cell_Voltage_013,Cell_Voltage_012,Cell_Voltage_011,Cell_Voltage_010,Cell_Voltage_009
1751195521.170150,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195521.222700,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195521.275200,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195521.316450,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195521.369000,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195521.421550,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195521.474050,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195521.515350,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195521.567850,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195521.620300,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195521.672800,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195521.725350,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195521.766550,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195521.819150,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195521.871650,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195521.924200,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195521.965500,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195522.017950,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195522.070400,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195522.122900,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195522.175450,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195522.216650,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195522.269200,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195522.321600,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195522.374200,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195522.415450,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195522.467950,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195522.520400,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195522.572850,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195522.625450,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195522.666650,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
1751195522.719200,4.020000,4.010000,4.030000,4.030000,4.020000,4.020000,4.020000,4.020000
