t,ams_shunt_voltage,ams_shunt_current,ams_shunt_amp_seconds
1751195524.466300,2.530000,0.000000,12800.000000
1751195524.518750,2.510000,0.000000,12800.000000
1751195524.571150,2.530000,0.000000,12800.000000
1751195524.623700,2.490000,0.000000,12800.000000
1751195524.665000,2.490000,0.000000,12800.000000
1751195524.717450,2.480000,0.000000,12800.000000
1751195524.769950,2.520000,0.000000,12800.000000
1751195524.822400,2.460000,0.000000,12800.000000
1751195524.874950,2.510000,0.000000,12800.000000
1751195524.916150,2.460000,0.000000,12800.000000
1751195524.968700,2.460000,0.000000,12800.000000
1751195525.021100,2.480000,0.000000,12800.000000
1751195525.073650,2.460000,0.000000,12800.000000
1751195525.114950,2.460000,0.000000,12800.000000
1751195525.167400,2.470000,0.000000,12800.000000
1751195525.219900,2.470000,0.010000,12800.000000
1751195525.272350,2.470000,0.000000,12800.000000
1751195525.324900,2.470000,0.000000,12800.000000
1751195525.366050,2.450000,0.000000,12800.000000
1751195525.418650,2.470000,0.000000,12800.000000
1751195525.471050,2.470000,0.000000,12800.000000
1751195525.523600,2.420000,0.000000,12800.000000
1751195525.564850,2.420000,0.000000,12800.000000
1751195525.617350,2.440000,0.000000,12800.000000
1751195525.669800,2.430000,0.000000,12800.000000
1751195525.722250,2.460000,0.000000,12800.000000
1751195525.774800,2.460000,0.000000,12800.000000
1751195525.816000,2.470000,0.000000,12800.000000
1751195525.868600,2.400000,0.000000,12800.000000
1751195525.921050,2.400000,0.000000,12800.000000
1751195525.973650,2.430000,0.000000,12800.000000
1751195526.014900,2.430000,0.000000,12800.000000
1751195526.067400,2.380000,0.000000,12800.000000
1751195526.119850,2.400000,0.000000,12800.000000
1751195526.172350,2.400000,0.000000,12800.000000
1751195526.224850,2.400000,0.000000,12800.000000
1751195526.266100,2.400000,0.000000,12800.000000
1751195526.318650,2.350000,0.000000,12800.000000
1751195526.371000,2.400000,0.000000,12800.000000
1751195526.423550,2.370000,0.000000,12800.000000
1751195526.464850,2.370000,0.000000,12800.000000
1751195526.517300,2.360000,0.000000,12800.000000
1751195526.569750,2.370000,0.000000,12800.000000
1751195526.622200,2.380000,0.000000,12800.000000
1751195526.674750,2.380000,0.000000,12800.000000
1751195526.716000,2.360000,0.000000,12800.000000
1751195526.768550,2.350000,0.000000,12800.000000
1751195526.821050,2.350000,0.000000,12800.000000
1751195526.873650,2.360000,0.000000,12800.000000
1751195526.914900,2.370000,0.000000,12800.000000
1751195526.967400,2.370000,0.000000,12800.000000
1751195527.019850,2.340000,0.000000,12800.000000
1751195527.072350,2.360000,0.000000,12800.000000
1751195527.124900,2.330000,0.000000,12800.000000
1751195527.166100,2.330000,0.000000,12800.000000
1751195527.218650,2.380000,0.000000,12800.000000
1751195527.271000,2.340000,0.000000,12800.000000
1751195527.323600,2.350000,0.000000,12800.000000
1751195527.364850,2.280000,0.000000,12800.000000
1751195527.417300,2.280000,0.000000,12800.000000
1751195527.469750,2.280000,0.000000,12800.000000
1751195527.522200,2.330000,0.000000,12800.000000
1751195527.574800,2.360000,0.000000,12800.000000
1751195527.616000,2.310000,0.000000,12800.000000
1751195527.668550,2.330000,0.000000,12800.000000
1751195527.721000,2.330000,0.000000,12800.000000
1751195527.773600,2.350000,0.000000,12800.000000
1751195527.814900,2.270000,0.000000,12800.000000
1751195527.867350,2.310000,0.000000,12800.000000
1751195527.919850,2.280000,0.000000,12800.000000
1751195527.972300,2.320000,0.000000,12800.000000
1751195528.024850,2.270000,0.000000,12800.000000
1751195528.066050,2.270000,0.000000,12800.000000
1751195528.118550,2.270000,0.000000,12800.000000
1751195528.171000,2.300000,0.000000,12800.000000
1751195528.223550,100.630000,0.720000,12800.000000
1751195528.264850,502.620000,0.170000,12800.000000
1751195528.317300,502.620000,0.050000,12800.000000
1751195528.369750,567.550000,0.010000,12800.000000
1751195528.422250,576.360000,0.010000,12800.000000
1751195528.474800,579.310000,0.010000,12800.000000
1751195528.516000,579.290000,0.000000,12800.000000
1751195528.568550,579.260000,0.000000,12800.000000
1751195528.620950,579.260000,0.000000,12800.000000
1751195528.673500,579.260000,0.000000,12800.000000
1751195528.714800,579.310000,0.010000,12800.000000
1751195528.767250,579.330000,0.010000,12800.000000
1751195528.819750,579.290000,0.010000,12800.000000
1751195528.872150,579.290000,0.010000,12800.000000
1751195528.924750,579.300000,0.000000,12800.000000
1751195528.965900,579.300000,0.000000,12800.000000
1751195529.018450,579.330000,0.010000,12800.000000
1751195529.070950,579.330000,0.010000,12800.000000
1751195529.123550,579.320000,0.010000,12800.000000
1751195529.164850,579.310000,0.010000,12800.000000
1751195529.217300,579.310000,0.010000,12800.000000
1751195529.269750,579.310000,0.010000,12800.000000
1751195529.322200,579.310000,0.010000,12800.000000
1751195529.374800,579.310000,0.010000,12800.000000
1751195529.416000,579.280000,0.010000,12800.000000
1751195529.468550,579.300000,0.000000,12800.000000
1751195529.520950,579.290000,0.000000,12800.000000
1751195529.573500,579.290000,0.000000,12800.000000
1751195529.614800,579.300000,0.000000,12800.000000
1751195529.667250,579.320000,0.010000,12800.000000
1751195529.719750,579.350000,0.010000,12800.000000
1751195529.772200,579.310000,0.010000,12800.000000
1751195529.824750,579.280000,0.010000,12800.000000
1751195529.865950,579.280000,0.010000,12800.000000
1751195529.918500,579.280000,0.000000,12800.000000
1751195529.970900,579.300000,0.010000,12800.000000
1751195530.023450,579.310000,0.000000,12800.000000
1751195530.064800,579.280000,0.010000,12800.000000
1751195530.117250,579.280000,0.000000,12800.000000
1751195530.169700,579.300000,0.010000,12800.000000
1751195530.222150,579.330000,0.000000,12800.000000
1751195530.274750,579.280000,0.010000,12800.000000
1751195530.315950,579.300000,0.000000,12800.000000
1751195530.368500,579.300000,0.000000,12800.000000
1751195530.420950,579.350000,0.000000,12800.000000
1751195530.473500,579.350000,0.010000,12800.000000
1751195530.514750,579.290000,0.000000,12800.000000
1751195530.567250,579.270000,0.010000,12800.000000
1751195530.619700,579.280000,0.010000,12800.000000
1751195530.672200,579.290000,0.000000,12800.000000
1751195530.724750,579.310000,0.010000,12800.000000
1751195530.765950,579.310000,0.010000,12800.000000
1751195530.818500,579.330000,0.000000,12800.000000
1751195530.870950,579.320000,0.000000,12800.000000
