t,Vehicle_State,shutdown_reason
1751195521.460950,0.000000,0.000000
1751195521.470800,0.000000,0.000000
1751195521.480850,0.000000,0.000000
1751195521.490800,0.000000,0.000000
1751195521.500800,0.000000,0.000000
1751195521.510750,0.000000,0.000000
1751195521.520800,0.000000,0.000000
1751195521.530800,0.000000,0.000000
1751195521.540750,0.000000,0.000000
1751195521.550800,0.000000,0.000000
1751195521.560800,0.000000,0.000000
1751195521.570850,0.000000,0.000000
1751195521.580800,0.000000,0.000000
1751195521.590800,0.000000,0.000000
1751195521.600750,0.000000,0.000000
1751195521.610800,0.000000,0.000000
1751195521.620850,0.000000,0.000000
1751195521.630750,0.000000,0.000000
1751195521.640800,0.000000,0.000000
1751195521.650800,0.000000,0.000000
1751195521.661050,0.000000,0.000000
1751195521.670800,0.000000,0.000000
1751195521.680800,0.000000,0.000000
1751195521.691050,0.000000,0.000000
1751195521.700800,0.000000,0.000000
1751195521.710800,0.000000,0.000000
1751195521.720800,0.000000,0.000000
1751195521.730850,0.000000,0.000000
1751195521.740800,0.000000,0.000000
1751195521.750800,0.000000,0.000000
1751195521.760800,0.000000,0.000000
1751195521.770800,0.000000,0.000000
1751195521.780800,0.000000,0.000000
1751195521.790750,0.000000,0.000000
1751195521.800800,0.000000,0.000000
1751195521.810800,0.000000,0.000000
1751195521.820850,0.000000,0.000000
1751195521.830800,0.000000,0.000000
1751195521.840800,0.000000,0.000000
1751195521.850800,0.000000,0.000000
1751195521.860800,0.000000,0.000000
1751195521.871050,0.000000,0.000000
1751195521.880800,0.000000,0.000000
1751195521.890850,0.000000,0.000000
1751195521.901050,0.000000,0.000000
1751195521.910800,0.000000,0.000000
1751195521.920800,0.000000,0.000000
1751195521.930800,0.000000,0.000000
1751195521.940800,0.000000,0.000000
1751195521.950800,0.000000,0.000000
1751195521.960800,0.000000,0.000000
1751195521.970850,0.000000,0.000000
1751195521.980750,0.000000,0.000000
1751195521.990750,0.000000,0.000000
1751195522.000800,0.000000,0.000000
1751195522.010800,0.000000,0.000000
1751195522.020850,0.000000,0.000000
1751195522.030800,0.000000,0.000000
1751195522.040800,0.000000,0.000000
1751195522.050800,0.000000,0.000000
1751195522.060750,0.000000,0.000000
1751195522.070800,0.000000,0.000000
1751195522.080800,0.000000,0.000000
1751195522.090800,0.000000,0.000000
1751195522.100800,0.000000,0.000000
1751195522.111050,0.000000,0.000000
1751195522.120800,0.000000,0.000000
1751195522.130800,0.000000,0.000000
1751195522.141050,0.000000,0.000000
1751195522.150800,0.000000,0.000000
1751195522.160750,0.000000,0.000000
1751195522.170800,0.000000,0.000000
1751195522.180800,0.000000,0.000000
1751195522.190750,0.000000,0.000000
1751195522.200750,0.000000,0.000000
1751195522.210800,0.000000,0.000000
1751195522.220850,0.000000,0.000000
1751195522.230750,0.000000,0.000000
1751195522.240800,0.000000,0.000000
1751195522.250750,0.000000,0.000000
1751195522.260750,0.000000,0.000000
1751195522.270800,0.000000,0.000000
1751195522.280800,0.000000,0.000000
1751195522.290750,0.000000,0.000000
1751195522.300800,0.000000,0.000000
1751195522.310800,0.000000,0.000000
1751195522.321000,0.000000,0.000000
1751195522.330800,0.000000,0.000000
1751195522.340800,0.000000,0.000000
1751195522.351050,0.000000,0.000000
1751195522.360800,0.000000,0.000000
1751195522.370800,0.000000,0.000000
1751195522.380850,0.000000,0.000000
1751195522.390750,0.000000,0.000000
1751195522.400800,0.000000,0.000000
