t,Cell_Voltage_112,Cell_Voltage_111,Cell_Voltage_110,Cell_Voltage_109,Cell_Voltage_108,Cell_Voltage_107,Cell_Voltage_106,Cell_Voltage_105
1751195521.172850,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195521.225350,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195521.277900,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195521.319200,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195521.371700,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195521.424250,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195521.476800,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195521.518050,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195521.570550,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195521.622900,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195521.675500,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195521.728050,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195521.769300,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195521.821800,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195521.874350,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195521.926900,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195521.968150,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195522.020650,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195522.073050,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195522.125600,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195522.178150,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195522.219350,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195522.271800,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195522.324300,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195522.376900,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195522.418200,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195522.470650,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195522.523000,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195522.575550,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195522.628150,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195522.669300,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195522.721800,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195522.774250,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195522.826850,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195522.868100,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195522.920600,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195522.972950,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195523.025500,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195523.078050,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195523.119250,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195523.171700,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195523.224300,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195523.276900,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195523.318200,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195523.370650,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195523.423000,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195523.475550,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195523.528100,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195523.569350,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195523.621850,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195523.674400,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195523.726950,4.020000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195523.768200,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
1751195523.820700,4.010000,4.020000,4.010000,4.020000,4.020000,4.020000,4.010000,4.020000
