t,Cell_Voltage_088,Cell_Voltage_087,Cell_Voltage_086,Cell_Voltage_085,Cell_Voltage_084,Cell_Voltage_083,Cell_Voltage_082,Cell_Voltage_081
1751195521.172200,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.224700,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.277200,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.318500,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.371050,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.423600,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.476100,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.517350,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.569850,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.622250,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.674800,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.727400,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.768600,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.821100,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.873650,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.926200,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.967500,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.019950,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.072350,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.124900,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.177500,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.218700,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.271150,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.323650,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.376200,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.417500,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.469950,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.522350,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.574900,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.627450,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.668650,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.721150,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.773600,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.826150,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.867450,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.919900,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.972250,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195523.024850,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195523.077400,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195523.118600,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195523.171050,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195523.223650,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195523.276200,4.010000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
