t,sensor_spring_travel_fr,sensor_spring_travel_fl,sensor_brake_temp_fr,sensor_brake_temp_fl
1751195521.206500,61.513200,63.979200,0.000000,0.000000
1751195521.256600,61.513200,63.979200,0.000000,0.000000
1751195521.306500,61.488000,64.004400,0.000000,0.000000
1751195521.356700,61.513200,63.979200,0.000000,0.000000
1751195521.406650,61.538400,64.004400,0.000000,0.000000
1751195521.456800,61.464600,63.979200,0.000000,0.000000
1751195521.506750,61.464600,63.907200,0.000000,0.000000
1751195521.557000,61.488000,64.004400,0.000000,0.000000
1751195521.606550,61.513200,63.955800,0.000000,0.000000
1751195521.656700,61.513200,63.979200,0.000000,0.000000
1751195521.706650,61.561800,64.004400,0.000000,0.000000
1751195521.756850,61.513200,63.930600,0.000000,0.000000
1751195521.806700,61.464600,63.930600,0.000000,0.000000
1751195521.856450,61.488000,63.979200,0.000000,0.000000
1751195521.906350,61.513200,63.979200,0.000000,0.000000
1751195521.956650,61.538400,63.979200,0.000000,0.000000
1751195522.006550,61.513200,64.027800,0.000000,0.000000
1751195522.056900,61.464600,63.979200,0.000000,0.000000
1751195522.106800,61.488000,64.004400,0.000000,0.000000
1751195522.156900,61.488000,63.955800,0.000000,0.000000
1751195522.206400,61.513200,64.004400,0.000000,0.000000
1751195522.257000,61.439400,63.955800,0.000000,0.000000
1751195522.306750,61.439400,63.930600,0.000000,0.000000
1751195522.356700,61.513200,63.907200,0.000000,0.000000
1751195522.406850,61.464600,63.979200,0.000000,0.000000
1751195522.456400,61.439400,63.955800,0.000000,0.000000
1751195522.506900,61.464600,63.930600,0.000000,0.000000
1751195522.556650,61.513200,63.955800,0.000000,0.000000
1751195522.606400,61.488000,63.955800,0.000000,0.000000
1751195522.657000,61.561800,63.955800,0.000000,0.000000
1751195522.706650,61.513200,63.979200,0.000000,0.000000
1751195522.756900,61.513200,63.955800,0.000000,0.000000
1751195522.806750,61.464600,64.004400,0.000000,0.000000
1751195522.856500,61.488000,63.979200,0.000000,0.000000
1751195522.906750,61.488000,63.979200,0.000000,0.000000
1751195522.956400,61.513200,64.004400,0.000000,0.000000
1751195523.006950,61.513200,64.004400,0.000000,0.000000
1751195523.056950,61.513200,63.955800,0.000000,0.000000
1751195523.106400,61.538400,64.004400,0.000000,0.000000
1751195523.156450,61.538400,64.004400,0.000000,0.000000
1751195523.206400,61.464600,63.979200,0.000000,0.000000
1751195523.256600,61.513200,64.004400,0.000000,0.000000
1751195523.306400,61.488000,63.930600,0.000000,0.000000
1751195523.356500,61.488000,63.955800,0.000000,0.000000
1751195523.406500,61.488000,64.004400,0.000000,0.000000
1751195523.456500,61.464600,64.004400,0.000000,0.000000
1751195523.506450,61.538400,64.004400,0.000000,0.000000
1751195523.556650,61.538400,64.004400,0.000000,0.000000
1751195523.606800,61.464600,63.955800,0.000000,0.000000
1751195523.656600,61.513200,64.027800,0.000000,0.000000
1751195523.706600,61.464600,63.979200,0.000000,0.000000
1751195523.756600,61.513200,64.004400,0.000000,0.000000
1751195523.806850,61.538400,64.004400,0.000000,0.000000
1751195523.856700,61.513200,64.027800,0.000000,0.000000
1751195523.906600,61.513200,63.955800,0.000000,0.000000
1751195523.956750,61.464600,64.004400,0.000000,0.000000
1751195524.006650,61.488000,64.027800,0.000000,0.000000
1751195524.057000,61.439400,63.979200,0.000000,0.000000
1751195524.106950,61.488000,64.004400,0.000000,0.000000
1751195524.156800,61.538400,63.955800,0.000000,0.000000
1751195524.206900,61.488000,63.979200,0.000000,0.000000
1751195524.256700,61.488000,63.955800,0.000000,0.000000
1751195524.306500,61.513200,63.979200,0.000000,0.000000
1751195524.356600,61.538400,63.955800,0.000000,0.000000
1751195524.406850,61.488000,63.979200,0.000000,0.000000
1751195524.456750,61.488000,63.955800,0.000000,0.000000
1751195524.506700,61.464600,63.955800,0.000000,0.000000
1751195524.557000,61.513200,63.955800,0.000000,0.000000
1751195524.606500,61.513200,64.004400,0.000000,0.000000
1751195524.656500,61.488000,63.979200,0.000000,0.000000
1751195524.706800,61.561800,63.930600,0.000000,0.000000
1751195524.756700,61.513200,63.955800,0.000000,0.000000
1751195524.806500,61.464600,63.979200,0.000000,0.000000
1751195524.857050,61.464600,63.930600,0.000000,0.000000
1751195525.007050,61.488000,63.955800,0.000000,0.000000
1751195525.107050,61.538400,63.979200,0.000000,0.000000
1751195525.357050,61.513200,64.004400,0.000000,0.000000
1751195525.657050,61.488000,63.955800,0.000000,0.000000
1751195525.807050,61.538400,64.004400,0.000000,0.000000
1751195525.857050,61.464600,63.979200,0.000000,0.000000
1751195525.907050,61.488000,64.004400,0.000000,0.000000
1751195526.057050,61.538400,64.004400,0.000000,0.000000
1751195526.107050,61.488000,63.955800,0.000000,0.000000
1751195526.257000,61.464600,63.930600,0.000000,0.000000
1751195526.407050,61.439400,64.004400,0.000000,0.000000
1751195526.457050,61.513200,63.955800,0.000000,0.000000
1751195526.507100,61.464600,63.955800,0.000000,0.000000
1751195526.557000,61.538400,63.979200,0.000000,0.000000
1751195526.657000,61.488000,63.979200,0.000000,0.000000
1751195527.007000,61.488000,64.053000,0.000000,0.000000
1751195527.057000,61.439400,63.979200,0.000000,0.000000
1751195527.107050,61.488000,63.930600,0.000000,0.000000
1751195527.207000,61.488000,63.979200,0.000000,0.000000
1751195527.357000,61.538400,64.004400,0.000000,0.000000
1751195527.507000,61.416000,63.955800,0.000000,0.000000
1751195527.607000,61.538400,64.004400,0.000000,0.000000
1751195527.907000,61.513200,63.979200,0.000000,0.000000
1751195528.007000,61.464600,63.979200,0.000000,0.000000
1751195528.057000,61.464600,63.979200,0.000000,0.000000
1751195528.107000,61.513200,64.004400,0.000000,0.000000
1751195528.157000,61.488000,64.027800,0.000000,0.000000
1751195528.307050,61.709400,64.150200,0.000000,0.000000
1751195528.456950,61.561800,64.053000,0.000000,0.000000
1751195528.706950,61.684200,64.198800,0.000000,0.000000
1751195528.757000,61.561800,64.076400,0.000000,0.000000
1751195528.807000,61.587000,64.101600,0.000000,0.000000
1751195529.057000,61.610400,64.053000,0.000000,0.000000
1751195529.106950,61.561800,64.053000,0.000000,0.000000
1751195529.156950,61.684200,64.150200,0.000000,0.000000
1751195529.356950,61.538400,64.004400,0.000000,0.000000
1751195529.406950,61.587000,64.053000,0.000000,0.000000
1751195529.556950,61.684200,64.126800,0.000000,0.000000
1751195529.606950,61.587000,64.053000,0.000000,0.000000
1751195529.657050,61.587000,64.053000,0.000000,0.000000
1751195529.707050,61.587000,64.027800,0.000000,0.000000
1751195529.807050,61.684200,64.198800,0.000000,0.000000
1751195529.906950,61.538400,63.979200,0.000000,0.000000
1751195530.006950,61.610400,64.126800,0.000000,0.000000
1751195530.107050,61.732800,64.150200,0.000000,0.000000
1751195530.157000,61.610400,64.027800,0.000000,0.000000
1751195530.206950,61.587000,64.053000,0.000000,0.000000
1751195530.256950,61.513200,64.027800,0.000000,0.000000
1751195530.456950,61.587000,64.004400,0.000000,0.000000
1751195530.656900,61.709400,64.150200,0.000000,0.000000
1751195530.706900,61.709400,64.150200,0.000000,0.000000
1751195530.756950,61.561800,64.053000,0.000000,0.000000
1751195530.806900,61.587000,64.027800,0.000000,0.000000
1751195530.856950,61.610400,64.027800,0.000000,0.000000
1751195531.056900,61.561800,64.053000,0.000000,0.000000
1751195531.156900,61.709400,64.175400,0.000000,0.000000
1751195531.256900,61.732800,64.175400,0.000000,0.000000
1751195531.307000,61.561800,64.027800,0.000000,0.000000
1751195531.356900,61.513200,64.076400,0.000000,0.000000
1751195531.406900,61.561800,64.027800,0.000000,0.000000
1751195531.607100,61.610400,64.053000,0.000000,0.000000
1751195531.707050,61.561800,64.027800,0.000000,0.000000
1751195531.756900,61.684200,64.175400,0.000000,0.000000
1751195531.806900,61.732800,64.175400,0.000000,0.000000
1751195531.956950,61.513200,64.004400,0.000000,0.000000
1751195532.006900,61.709400,64.175400,0.000000,0.000000
1751195532.056900,61.732800,64.175400,0.000000,0.000000
1751195532.106900,61.732800,64.175400,0.000000,0.000000
1751195532.157050,61.587000,64.053000,0.000000,0.000000
1751195532.206900,61.587000,64.053000,0.000000,0.000000
1751195532.356950,61.732800,64.150200,0.000000,0.000000
1751195532.406900,61.709400,64.150200,0.000000,0.000000
1751195532.456900,61.587000,64.101600,0.000000,0.000000
1751195532.556900,61.561800,63.979200,0.000000,0.000000
1751195532.606900,61.758000,64.150200,0.000000,0.000000
1751195532.656950,61.709400,64.101600,0.000000,0.000000
1751195532.757000,61.538400,64.053000,0.000000,0.000000
1751195532.806900,61.561800,63.979200,0.000000,0.000000
1751195532.956900,61.758000,64.175400,0.000000,0.000000
1751195533.007050,61.587000,64.004400,0.000000,0.000000
1751195533.056900,61.587000,64.027800,0.000000,0.000000
1751195533.107100,61.587000,64.053000,0.000000,0.000000
1751195533.156900,61.758000,64.150200,0.000000,0.000000
1751195533.206900,61.709400,64.175400,0.000000,0.000000
1751195533.257000,61.709400,64.126800,0.000000,0.000000
1751195533.307000,61.561800,64.053000,0.000000,0.000000
1751195533.356950,61.561800,64.027800,0.000000,0.000000
1751195533.406950,61.513200,64.004400,0.000000,0.000000
1751195533.456900,61.709400,64.101600,0.000000,0.000000
1751195533.556900,61.684200,64.126800,0.000000,0.000000
1751195533.607050,61.561800,64.027800,0.000000,0.000000
1751195533.656950,61.587000,64.076400,0.000000,0.000000
1751195533.706900,61.587000,64.126800,0.000000,0.000000
1751195533.756900,61.758000,64.224000,0.000000,0.000000
1751195533.856900,61.610400,64.027800,0.000000,0.000000
1751195533.906900,61.538400,64.027800,0.000000,0.000000
1751195533.956950,61.561800,64.004400,0.000000,0.000000
1751195534.006900,61.709400,64.175400,0.000000,0.000000
1751195534.056900,61.684200,64.076400,0.000000,0.000000
1751195534.157150,61.561800,63.955800,0.000000,0.000000
1751195534.206950,61.587000,64.076400,0.000000,0.000000
1751195534.256950,61.513200,63.955800,0.000000,0.000000
1751195534.307150,61.709400,64.150200,0.000000,0.000000
1751195534.356900,61.635600,64.101600,0.000000,0.000000
1751195534.406900,61.659000,64.198800,0.000000,0.000000
1751195534.457100,61.561800,64.027800,0.000000,0.000000
1751195534.506950,61.587000,64.027800,0.000000,0.000000
1751195534.557000,61.538400,64.004400,0.000000,0.000000
1751195534.706950,61.538400,64.076400,0.000000,0.000000
1751195534.757100,61.610400,64.027800,0.000000,0.000000
1751195534.857150,61.684200,64.126800,0.000000,0.000000
1751195534.907150,61.732800,64.150200,0.000000,0.000000
1751195534.957050,61.709400,64.101600,0.000000,0.000000
1751195535.006950,61.561800,64.027800,0.000000,0.000000
1751195535.056900,61.561800,64.027800,0.000000,0.000000
1751195535.107200,61.488000,64.027800,0.000000,0.000000
1751195535.156900,61.659000,64.126800,0.000000,0.000000
1751195535.206950,61.659000,64.101600,0.000000,0.000000
1751195535.256950,61.659000,64.150200,0.000000,0.000000
1751195535.456900,61.464600,64.076400,0.000000,0.000000
1751195535.507000,61.464600,64.101600,0.000000,0.000000
1751195535.556900,61.293600,63.930600,0.000000,0.000000
1751195535.606950,61.245000,63.955800,0.000000,0.000000
1751195535.657100,61.196400,63.955800,0.000000,0.000000
1751195535.706950,61.317000,64.076400,0.000000,0.000000
1751195535.757000,61.245000,64.126800,0.000000,0.000000
1751195535.806900,61.219800,64.126800,0.000000,0.000000
1751195535.906900,61.097400,63.979200,0.000000,0.000000
1751195535.956900,61.097400,63.955800,0.000000,0.000000
1751195536.006950,61.219800,64.126800,0.000000,0.000000
1751195536.056950,61.245000,64.126800,0.000000,0.000000
1751195536.106950,61.268400,64.053000,0.000000,0.000000
1751195536.207000,61.122600,63.856800,0.000000,0.000000
1751195536.256950,61.074000,63.856800,0.000000,0.000000
1751195536.306950,61.196400,64.004400,0.000000,0.000000
1751195536.406900,61.097400,63.856800,0.000000,0.000000
1751195536.457050,61.074000,63.856800,0.000000,0.000000
1751195536.506950,61.097400,63.808200,0.000000,0.000000
1751195536.556950,61.245000,64.004400,0.000000,0.000000
1751195536.606950,61.219800,63.955800,0.000000,0.000000
1751195536.757100,61.122600,63.784800,0.000000,0.000000
1751195536.807000,61.122600,63.759600,0.000000,0.000000
1751195536.857200,61.219800,63.856800,0.000000,0.000000
1751195536.907000,61.196400,63.856800,0.000000,0.000000
1751195536.956950,61.219800,63.808200,0.000000,0.000000
1751195537.007000,61.097400,63.736200,0.000000,0.000000
1751195537.056950,61.025400,63.613800,0.000000,0.000000
1751195537.107100,61.122600,63.588600,0.000000,0.000000
1751195537.206950,61.513200,63.369000,0.000000,0.000000
1751195537.256950,61.610400,63.075600,0.000000,0.000000
1751195537.307000,61.732800,62.758800,0.000000,0.000000
1751195537.407150,61.806600,62.636400,0.000000,0.000000
1751195537.456950,61.903800,62.587800,0.000000,0.000000
1751195537.557050,61.758000,62.343000,0.000000,0.000000
1751195537.607050,61.781400,62.294400,0.000000,0.000000
1751195537.706950,61.903800,62.416800,0.000000,0.000000
1751195537.756850,61.830000,62.416800,0.000000,0.000000
1751195537.857000,61.659000,62.368200,0.000000,0.000000
1751195537.907000,61.610400,62.442000,0.000000,0.000000
1751195538.007150,61.293600,62.710200,0.000000,0.000000
1751195538.207200,60.877800,62.832600,0.000000,0.000000
1751195538.257000,61.025400,63.174600,0.000000,0.000000
1751195538.307000,61.025400,63.174600,0.000000,0.000000
1751195538.357050,61.048800,63.149400,0.000000,0.000000
1751195538.407050,61.097400,62.929800,0.000000,0.000000
1751195538.457150,61.122600,62.661600,0.000000,0.000000
1751195538.507000,61.464600,62.611200,0.000000,0.000000
1751195538.556750,61.903800,62.661600,0.000000,0.000000
1751195538.606800,62.100000,62.100000,0.000000,0.000000
1751195538.656850,62.294400,61.610400,0.000000,0.000000
1751195538.707000,62.271000,61.488000,0.000000,0.000000
1751195538.756850,62.271000,61.416000,0.000000,0.000000
1751195538.807200,62.271000,61.439400,0.000000,0.000000
1751195538.857000,62.319600,61.587000,0.000000,0.000000
1751195538.906750,62.220600,61.610400,0.000000,0.000000
1751195538.956750,62.220600,61.758000,0.000000,0.000000
1751195539.006750,62.049600,61.610400,0.000000,0.000000
1751195539.056750,62.001000,62.197200,0.000000,0.000000
1751195539.106800,61.781400,62.514000,0.000000,0.000000
1751195539.157100,61.610400,62.539200,0.000000,0.000000
1751195539.206900,61.416000,62.587800,0.000000,0.000000
1751195539.257000,61.367400,62.587800,0.000000,0.000000
1751195539.306750,61.293600,62.587800,0.000000,0.000000
1751195539.357050,61.293600,62.661600,0.000000,0.000000
1751195539.406900,61.390800,62.807400,0.000000,0.000000
1751195539.457050,61.439400,61.245000,0.000000,0.000000
1751195539.506750,61.903800,61.513200,0.000000,0.000000
1751195539.557050,62.001000,61.659000,0.000000,0.000000
1751195539.606850,62.172000,61.293600,0.000000,0.000000
1751195539.656800,62.319600,61.293600,0.000000,0.000000
1751195539.706800,62.343000,61.439400,0.000000,0.000000
1751195539.756750,62.368200,61.561800,0.000000,0.000000
1751195539.806750,60.854400,62.319600,0.000000,0.000000
1751195539.856900,60.390000,64.395000,0.000000,0.000000
1751195539.907000,59.999400,64.468800,0.000000,0.000000
1751195539.956850,59.583600,64.908000,0.000000,0.000000
1751195540.007150,58.753800,64.150200,0.000000,0.000000
1751195540.056750,59.315400,64.224000,0.000000,0.000000
1751195540.106800,59.437800,64.272600,0.000000,0.000000
1751195540.157050,60.341400,62.391600,0.000000,0.000000
1751195540.207000,61.097400,61.903800,0.000000,0.000000
1751195540.257100,61.416000,62.172000,0.000000,0.000000
1751195540.306800,61.781400,61.659000,0.000000,0.000000
1751195540.356800,61.781400,61.513200,0.000000,0.000000
1751195540.407050,62.026200,61.416000,0.000000,0.000000
1751195540.456900,62.001000,61.317000,0.000000,0.000000
1751195540.507000,62.049600,61.342200,0.000000,0.000000
1751195540.556950,62.049600,61.635600,0.000000,0.000000
1751195540.606800,61.732800,61.878600,0.000000,0.000000
1751195540.656900,61.587000,61.929000,0.000000,0.000000
1751195540.707200,61.416000,61.878600,0.000000,0.000000
1751195540.757150,61.439400,62.197200,0.000000,0.000000
1751195540.806850,61.538400,62.343000,0.000000,0.000000
1751195540.856950,61.293600,62.343000,0.000000,0.000000
