t,Cell_Voltage_072,Cell_Voltage_071,Cell_Voltage_070,Cell_Voltage_069,Cell_Voltage_068,Cell_Voltage_067,Cell_Voltage_066,Cell_Voltage_065
1751195523.977100,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195524.018300,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195524.070800,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195524.123300,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195524.175850,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195524.217150,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195524.269600,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195524.322000,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195524.374550,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195524.427100,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195524.468300,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195524.573200,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195524.625750,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195524.667000,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195524.719500,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195524.771900,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195524.824450,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195524.877000,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195524.918200,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195524.970750,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195525.023100,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195525.075700,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195525.116950,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195525.169400,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195525.221800,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
