t,Daughter_7_T_8,Daughter_7_T_7,Daughter_7_T_6,Daughter_7_T_5,Daughter_7_T_4,Daughter_7_T_3,Daughter_7_T_2,Daughter_7_T_1
1751195521.176750,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-31.500000,31.000000
1751195521.229250,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-28.500000,31.500000
1751195521.281800,31.500000,31.000000,31.000000,31.000000,31.000000,31.000000,-29.000000,31.500000
1751195521.323050,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-30.500000,31.500000
1751195521.375600,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-30.000000,31.000000
1751195521.428100,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-31.500000,31.500000
1751195521.480650,31.500000,31.000000,31.000000,31.000000,31.000000,31.000000,-28.500000,31.500000
1751195521.521850,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-32.000000,31.500000
1751195521.574300,31.500000,31.000000,31.000000,31.000000,31.000000,31.000000,-31.500000,31.500000
1751195521.626800,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-32.000000,31.500000
1751195521.679350,31.500000,31.000000,31.000000,31.000000,31.000000,31.000000,-29.000000,31.500000
1751195521.731850,31.500000,31.000000,31.000000,31.000000,31.000000,31.000000,-32.500000,31.500000
1751195521.773150,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-30.000000,31.000000
1751195521.825650,31.500000,31.000000,31.000000,31.000000,31.000000,31.000000,-30.000000,31.500000
1751195521.878200,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-30.000000,31.500000
1751195521.930800,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-28.500000,31.500000
1751195521.971950,31.500000,31.000000,31.000000,31.000000,31.000000,31.000000,-28.500000,31.500000
1751195522.024450,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-29.000000,31.000000
1751195522.076900,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-28.500000,31.000000
1751195522.129500,31.500000,31.000000,31.000000,31.000000,31.000000,31.000000,-31.000000,31.500000
1751195522.181950,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-32.000000,31.500000
1751195522.223250,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-29.000000,31.500000
1751195522.275700,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-32.500000,31.000000
1751195522.328200,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-29.500000,31.500000
1751195522.380750,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-32.500000,31.000000
1751195522.421950,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-31.500000,31.000000
1751195522.474450,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-28.500000,31.000000
1751195522.526900,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-31.000000,31.000000
1751195522.579450,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-29.000000,31.500000
1751195522.631900,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-32.500000,31.500000
1751195522.673200,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-29.500000,31.000000
1751195522.725700,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-31.000000,31.000000
1751195522.778150,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-32.500000,31.000000
1751195522.830700,31.500000,31.000000,31.000000,31.000000,31.000000,31.000000,-31.500000,31.500000
1751195522.871900,31.500000,31.000000,31.000000,31.000000,31.000000,31.000000,-30.000000,31.500000
1751195522.924350,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-29.500000,31.500000
1751195522.976800,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-29.000000,31.000000
1751195523.029350,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-33.000000,31.000000
1751195523.081850,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-32.500000,31.000000
1751195523.123150,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-30.000000,31.500000
1751195523.175600,31.500000,31.000000,31.000000,31.000000,31.000000,31.000000,-31.000000,31.500000
1751195523.228200,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-29.000000,31.000000
1751195523.280750,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-31.000000,31.500000
1751195523.321950,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-29.500000,31.000000
1751195523.374400,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-30.000000,31.500000
1751195523.426900,31.500000,31.000000,31.000000,31.000000,31.000000,31.000000,-31.500000,31.500000
