t,ams_temp_max_8,ams_temp_max_7,ams_temp_max_6,ams_temp_max_5,ams_temp_max_4,ams_temp_max_3,ams_temp_max_2,ams_temp_max_1
1751195521.175000,31.500000,-31.500000,31.000000,-38.000000,-34.500000,31.000000,31.000000,36.000000
1751195521.227500,31.500000,-28.500000,31.000000,-40.000000,-35.000000,31.000000,31.000000,36.000000
1751195521.280050,31.500000,-29.000000,31.000000,-39.500000,-36.500000,31.000000,31.000000,36.000000
1751195521.321300,31.500000,-30.500000,31.500000,-39.500000,-37.000000,31.000000,31.000000,36.000000
1751195521.373850,31.500000,-30.000000,31.000000,-37.500000,-35.500000,31.000000,31.000000,36.000000
1751195521.426350,31.500000,-31.500000,31.000000,-36.500000,-35.500000,31.000000,31.000000,36.000000
1751195521.478900,31.500000,-28.500000,31.000000,-38.000000,-36.000000,31.000000,31.000000,36.000000
1751195521.520150,31.500000,-32.000000,31.500000,-38.000000,-35.000000,31.000000,31.000000,36.000000
1751195521.572550,31.500000,-31.500000,31.000000,-38.000000,-36.500000,31.000000,31.000000,36.000000
1751195521.625050,31.500000,-32.000000,31.000000,-40.000000,-34.500000,31.000000,31.000000,36.000000
1751195521.677600,31.500000,-29.000000,31.000000,87.500000,-35.500000,31.000000,31.000000,36.000000
1751195521.730200,31.500000,-32.500000,31.500000,-40.000000,-35.500000,31.000000,31.000000,36.000000
1751195521.771400,31.500000,-30.000000,31.000000,-38.000000,-34.500000,31.000000,31.000000,36.000000
1751195521.823900,31.500000,-30.000000,31.500000,-37.500000,-37.500000,31.000000,31.000000,36.000000
1751195521.876450,31.500000,-30.000000,31.000000,-36.000000,-34.500000,31.000000,31.000000,36.000000
1751195521.929000,31.500000,-28.500000,31.000000,-38.000000,-33.000000,31.000000,31.000000,36.000000
1751195521.970300,31.500000,-28.500000,31.000000,-38.500000,-33.000000,31.000000,31.000000,36.000000
1751195522.022650,31.500000,-29.000000,31.000000,-37.500000,-38.000000,31.000000,31.000000,36.000000
1751195522.075150,31.500000,-28.500000,31.000000,-39.000000,-37.500000,31.000000,31.000000,36.000000
1751195522.127700,31.500000,-31.000000,31.500000,-40.000000,-37.500000,31.000000,31.000000,36.000000
1751195522.180250,31.500000,-32.000000,31.000000,-38.000000,-33.000000,31.000000,31.000000,36.000000
1751195522.221500,31.500000,-29.000000,31.000000,87.500000,-37.000000,31.000000,31.000000,36.000000
1751195522.273950,31.500000,-32.500000,31.000000,-37.000000,-37.000000,31.000000,31.000000,36.000000
1751195522.326450,31.500000,-29.500000,31.500000,-40.000000,-35.000000,31.000000,31.000000,36.000000
1751195522.379000,31.500000,-32.500000,31.500000,-37.500000,-33.500000,31.000000,31.000000,36.000000
1751195522.420300,31.500000,-31.500000,31.000000,-38.000000,-37.000000,31.000000,31.000000,36.000000
1751195522.472700,31.500000,-28.500000,31.000000,-38.000000,-34.000000,31.000000,31.000000,36.000000
1751195522.525150,31.500000,-31.000000,31.000000,-36.500000,-34.500000,31.000000,31.000000,36.000000
1751195522.577700,31.500000,-29.000000,31.000000,-38.000000,-36.000000,31.000000,31.000000,36.000000
1751195522.630250,31.500000,-32.500000,31.000000,-36.500000,-33.000000,31.000000,31.000000,36.000000
1751195522.671450,31.500000,-29.500000,31.000000,87.000000,-36.000000,31.000000,31.000000,36.000000
1751195522.723950,31.500000,-31.000000,31.000000,-36.000000,-33.000000,31.000000,31.000000,36.000000
1751195522.776400,31.500000,-32.500000,31.000000,-37.000000,-34.500000,31.000000,31.000000,36.000000
1751195522.828950,31.500000,-31.500000,31.000000,-37.500000,-36.500000,31.000000,31.000000,36.000000
1751195522.870250,31.500000,-30.000000,31.000000,-36.000000,-36.000000,31.000000,31.000000,36.000000
1751195522.922600,31.500000,-29.500000,31.000000,-38.000000,-36.000000,31.000000,31.000000,36.000000
1751195522.975050,31.500000,-29.000000,31.000000,-37.500000,-35.000000,31.000000,31.000000,36.000000
1751195523.027650,31.500000,-33.000000,31.000000,-35.500000,-35.500000,31.000000,31.000000,36.000000
1751195523.080200,31.500000,-32.500000,31.000000,-36.500000,-35.000000,31.000000,31.000000,36.000000
1751195523.121400,31.500000,-30.000000,31.000000,-37.000000,-35.500000,31.000000,31.000000,36.000000
1751195523.173850,31.500000,-31.000000,31.000000,-37.500000,-36.000000,31.000000,31.000000,36.000000
1751195523.226450,31.500000,-29.000000,31.000000,-39.000000,-35.500000,31.000000,31.000000,36.000000
1751195523.279000,31.500000,-31.000000,31.000000,-38.000000,-35.000000,31.000000,31.000000,36.000000
1751195523.320300,31.500000,-29.500000,31.000000,-37.500000,-36.500000,31.000000,31.000000,36.000000
1751195523.372650,31.500000,-30.000000,31.500000,-38.500000,-34.500000,31.000000,31.000000,36.000000
1751195523.425150,31.500000,-31.500000,31.000000,-37.500000,-35.500000,31.000000,31.000000,36.000000
1751195523.477700,31.500000,-31.500000,31.000000,-40.000000,-34.500000,31.000000,31.000000,36.000000
1751195523.530250,31.500000,-33.000000,31.000000,-36.500000,-35.000000,31.000000,31.000000,36.000000
1751195523.571450,31.500000,-31.500000,31.000000,-39.500000,-34.500000,31.000000,31.000000,36.000000
1751195523.623950,31.500000,-30.000000,31.000000,-39.500000,-34.000000,31.000000,31.000000,36.000000
1751195523.676500,31.500000,-32.000000,31.000000,-36.500000,-35.000000,31.000000,31.000000,36.000000
1751195523.729100,31.500000,-28.500000,31.000000,-38.000000,-33.500000,31.000000,31.000000,36.000000
