t,Cell_Voltage_104,Cell_Voltage_103,Cell_Voltage_102,Cell_Voltage_101,Cell_Voltage_100,Cell_Voltage_099,Cell_Voltage_098,Cell_Voltage_097
1751195521.172650,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.225150,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.277700,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.318950,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.371500,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.424000,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.476550,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.517800,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.570300,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.622700,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.675250,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.727850,4.020000,4.010000,4.020000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.769050,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.821550,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.874100,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.926650,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195521.967950,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.020400,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.072800,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.125350,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.177950,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.219150,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.271600,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.324100,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.376700,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.417950,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.470450,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.522800,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.575350,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.627900,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.669100,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.721600,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.774050,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.826600,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.867900,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.920350,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195522.972700,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195523.025300,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195523.077850,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195523.119050,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195523.171500,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195523.224100,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195523.276650,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195523.317950,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195523.370400,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195523.422800,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195523.475300,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
1751195523.527900,4.020000,4.010000,4.010000,4.010000,4.010000,4.020000,4.010000,4.020000
