t,ams_temp_min_9
1751195521.174750,31.000000
1751195521.227250,31.000000
1751195521.279800,31.000000
1751195521.321050,31.000000
1751195521.373600,31.000000
1751195521.426150,31.000000
1751195521.478650,31.000000
1751195521.519950,31.000000
1751195521.572350,31.000000
1751195521.624800,31.000000
1751195521.677350,31.000000
1751195521.729950,31.000000
1751195521.771200,31.000000
1751195521.823650,31.000000
1751195521.876200,31.000000
1751195521.928750,31.000000
1751195521.970050,31.000000
1751195522.022450,31.000000
1751195522.074900,31.000000
1751195522.127450,31.000000
1751195522.180050,31.000000
1751195522.221250,31.000000
1751195522.273700,31.000000
1751195522.326200,31.000000
1751195522.378800,31.000000
1751195522.420050,31.000000
1751195522.472450,31.000000
1751195522.524900,31.000000
1751195522.577450,31.000000
1751195522.630000,31.000000
1751195522.671200,31.000000
1751195522.723700,31.000000
1751195522.776150,31.000000
1751195522.828750,31.000000
1751195522.870000,31.000000
1751195522.922400,31.000000
1751195522.974800,31.000000
1751195523.027400,31.000000
1751195523.079950,31.000000
1751195523.121150,31.000000
1751195523.173600,31.000000
1751195523.226200,31.000000
1751195523.278800,31.000000
1751195523.320050,31.000000
1751195523.372450,31.000000
1751195523.424900,31.000000
1751195523.477450,31.000000
1751195523.530000,31.000000
1751195523.571250,31.000000
1751195523.623700,31.000000
1751195523.676300,31.000000
1751195523.728850,31.000000
1751195523.770100,31.000000
1751195523.822500,31.000000
1751195523.874950,31.000000
1751195523.927500,31.000000
1751195523.980100,31.000000
1751195524.021300,31.000000
1751195524.073750,31.000000
1751195524.126350,31.000000
1751195524.178900,31.000000
1751195524.220200,31.000000
1751195524.272550,31.000000
1751195524.325050,31.000000
1751195524.377600,31.000000
1751195524.430150,31.000000
1751195524.471200,31.000000
1751195524.523700,31.000000
1751195524.576200,31.000000
1751195524.628750,31.000000
1751195524.670000,31.000000
1751195524.722400,31.000000
1751195524.774900,31.000000
1751195524.827450,31.000000
1751195524.880000,31.000000
1751195524.921200,31.000000
1751195524.973650,31.000000
1751195525.026100,31.000000
1751195525.078700,31.000000
1751195525.120000,31.000000
1751195525.172350,31.000000
1751195525.224800,31.000000
1751195525.277400,31.000000
1751195525.329950,31.000000
1751195525.371100,31.000000
1751195525.423600,31.000000
1751195525.476050,31.000000
1751195525.528650,31.000000
1751195525.569900,31.000000
1751195525.622300,31.000000
1751195525.674750,31.000000
1751195525.727300,31.000000
1751195525.779850,31.000000
1751195525.821100,31.000000
1751195525.873550,31.000000
1751195525.926100,31.000000
1751195525.978650,31.000000
1751195526.019950,31.000000
1751195526.072350,31.000000
1751195526.124800,31.000000
1751195526.177350,31.000000
1751195526.229900,31.000000
1751195526.271100,31.000000
1751195526.323600,31.000000
1751195526.376050,31.000000
1751195526.428600,31.000000
1751195526.469900,31.000000
1751195526.522300,31.000000
1751195526.574750,31.000000
1751195526.627250,31.000000
1751195526.679850,31.000000
1751195526.721050,31.000000
1751195526.773500,31.000000
1751195526.826100,31.000000
1751195526.878650,31.000000
1751195526.919950,31.000000
1751195526.972300,31.000000
1751195527.024800,31.000000
1751195527.077350,31.000000
1751195527.129950,31.000000
1751195527.171100,31.000000
1751195527.223550,31.000000
1751195527.276050,31.000000
1751195527.328600,31.000000
1751195527.369900,31.000000
1751195527.422250,31.000000
1751195527.474750,31.000000
1751195527.527250,31.000000
1751195527.579850,31.000000
1751195527.621050,31.000000
1751195527.673500,31.000000
1751195527.726050,31.000000
1751195527.778650,31.000000
1751195527.819900,31.000000
1751195527.872300,31.000000
1751195527.924750,31.000000
1751195527.977350,31.000000
1751195528.029900,31.000000
1751195528.071100,31.000000
1751195528.123550,31.000000
1751195528.176050,31.000000
1751195528.228600,31.000000
1751195528.269900,31.000000
1751195528.322250,31.000000
1751195528.374700,31.000000
1751195528.427300,31.000000
1751195528.479850,31.000000
1751195528.521050,31.000000
1751195528.573500,31.000000
1751195528.626000,31.000000
1751195528.678550,31.000000
1751195528.719800,31.000000
1751195528.772200,31.000000
1751195528.824700,31.000000
1751195528.877250,31.000000
1751195528.929800,31.000000
1751195528.970950,31.000000
1751195529.023400,31.000000
1751195529.076000,31.000000
1751195529.128550,31.000000
1751195529.169850,31.000000
1751195529.222250,31.000000
1751195529.274700,31.000000
1751195529.327250,31.000000
1751195529.379800,31.000000
1751195529.421000,31.000000
1751195529.473500,31.000000
1751195529.525950,31.000000
1751195529.578500,31.000000
1751195529.619850,31.000000
1751195529.672200,31.000000
1751195529.724700,31.000000
1751195529.777250,31.000000
1751195529.829800,31.000000
1751195529.870950,31.000000
1751195529.923450,31.000000
1751195529.975950,31.000000
1751195530.028550,31.000000
1751195530.069800,31.000000
1751195530.122200,31.000000
1751195530.174650,31.000000
1751195530.227250,31.000000
1751195530.279800,31.000000
