t,sensor_spring_travel_fr,sensor_spring_travel_fl,sensor_brake_temp_fr,sensor_brake_temp_fl
1751195531406,61.5618,64.0278,0.0,0.0
1751195531607,61.6104,64.053,0.0,0.0
1751195531707,61.5618,64.0278,0.0,0.0
1751195531756,61.6842,64.1754,0.0,0.0
1751195531806,61.7328,64.1754,0.0,0.0
1751195531956,61.5132,64.0044,0.0,0.0
1751195532006,61.7094,64.1754,0.0,0.0
1751195532056,61.7328,64.1754,0.0,0.0
1751195532106,61.7328,64.1754,0.0,0.0
1751195532157,61.587,64.053,0.0,0.0
1751195532206,61.587,64.053,0.0,0.0
1751195532356,61.7328,64.1502,0.0,0.0
1751195532406,61.7094,64.1502,0.0,0.0
1751195532456,61.587,64.1016,0.0,0.0
1751195532556,61.5618,63.9792,0.0,0.0
1751195532606,61.758,64.1502,0.0,0.0
1751195532656,61.7094,64.1016,0.0,0.0
1751195532757,61.5384,64.053,0.0,0.0
1751195532806,61.5618,63.9792,0.0,0.0
1751195532956,61.758,64.1754,0.0,0.0
1751195533007,61.587,64.0044,0.0,0.0
1751195533056,61.587,64.0278,0.0,0.0
1751195533107,61.587,64.053,0.0,0.0
1751195533156,61.758,64.1502,0.0,0.0
1751195533206,61.7094,64.1754,0.0,0.0
1751195533257,61.7094,64.1268,0.0,0.0
1751195533307,61.5618,64.053,0.0,0.0
1751195533356,61.5618,64.0278,0.0,0.0
1751195533406,61.5132,64.0044,0.0,0.0
1751195533456,61.7094,64.1016,0.0,0.0
1751195533556,61.6842,64.1268,0.0,0.0
1751195533607,61.5618,64.0278,0.0,0.0
1751195533656,61.587,64.0764,0.0,0.0
1751195533706,61.587,64.1268,0.0,0.0
1751195533756,61.758,64.224,0.0,0.0
1751195533856,61.6104,64.0278,0.0,0.0
1751195533906,61.5384,64.0278,0.0,0.0
1751195533956,61.5618,64.0044,0.0,0.0
1751195534006,61.7094,64.1754,0.0,0.0
1751195534056,61.6842,64.0764,0.0,0.0
1751195534157,61.5618,63.9558,0.0,0.0
1751195534206,61.587,64.0764,0.0,0.0
1751195534256,61.5132,63.9558,0.0,0.0
1751195534307,61.7094,64.1502,0.0,0.0
1751195534356,61.6356,64.1016,0.0,0.0
1751195534406,61.659,64.1988,0.0,0.0
1751195534457,61.5618,64.0278,0.0,0.0
1751195534506,61.587,64.0278,0.0,0.0
1751195534557,61.5384,64.0044,0.0,0.0
1751195534706,61.5384,64.0764,0.0,0.0
1751195534757,61.6104,64.0278,0.0,0.0
1751195534857,61.6842,64.1268,0.0,0.0
1751195534907,61.7328,64.1502,0.0,0.0
1751195534957,61.7094,64.1016,0.0,0.0
1751195535006,61.5618,64.0278,0.0,0.0
1751195535056,61.5618,64.0278,0.0,0.0
1751195535107,61.488,64.0278,0.0,0.0
1751195535156,61.659,64.1268,0.0,0.0
1751195535206,61.659,64.1016,0.0,0.0
1751195535256,61.659,64.1502,0.0,0.0
1751195535456,61.4646,64.0764,0.0,0.0
1751195535507,61.4646,64.1016,0.0,0.0
1751195535556,61.2936,63.9306,0.0,0.0
1751195535606,61.245,63.9558,0.0,0.0
1751195535657,61.1964,63.9558,0.0,0.0
1751195535706,61.317,64.0764,0.0,0.0
1751195535757,61.245,64.1268,0.0,0.0
1751195535806,61.2198,64.1268,0.0,0.0
1751195535906,61.0974,63.9792,0.0,0.0
1751195535956,61.0974,63.9558,0.0,0.0
1751195536006,61.2198,64.1268,0.0,0.0
1751195536056,61.245,64.1268,0.0,0.0
1751195536106,61.2684,64.053,0.0,0.0
1751195536207,61.1226,63.8568,0.0,0.0
1751195536256,61.074,63.8568,0.0,0.0
1751195536306,61.1964,64.0044,0.0,0.0
1751195536406,61.0974,63.8568,0.0,0.0
1751195536457,61.074,63.8568,0.0,0.0
1751195536506,61.0974,63.8082,0.0,0.0
1751195536556,61.245,64.0044,0.0,0.0
1751195536606,61.2198,63.9558,0.0,0.0
1751195536757,61.1226,63.7848,0.0,0.0
1751195536807,61.1226,63.7596,0.0,0.0
1751195536857,61.2198,63.8568,0.0,0.0
1751195536907,61.1964,63.8568,0.0,0.0
1751195536956,61.2198,63.8082,0.0,0.0
1751195537007,61.0974,63.7362,0.0,0.0
1751195537056,61.0254,63.6138,0.0,0.0
1751195537107,61.1226,63.5886,0.0,0.0
1751195537206,61.5132,63.369,0.0,0.0
1751195537256,61.6104,63.0756,0.0,0.0
1751195537307,61.7328,62.7588,0.0,0.0
1751195537407,61.8066,62.6364,0.0,0.0
1751195537456,61.9038,62.5878,0.0,0.0
1751195537557,61.758,62.343,0.0,0.0
1751195537607,61.7814,62.2944,0.0,0.0
1751195537706,61.9038,62.4168,0.0,0.0
1751195537756,61.83,62.4168,0.0,0.0
1751195537857,61.659,62.3682,0.0,0.0
1751195537907,61.6104,62.442,0.0,0.0
1751195538007,61.2936,62.7102,0.0,0.0
1751195538207,60.8778,62.8326,0.0,0.0
1751195538257,61.0254,63.1746,0.0,0.0
1751195538307,61.0254,63.1746,0.0,0.0
1751195538357,61.0488,63.1494,0.0,0.0
1751195538407,61.0974,62.9298,0.0,0.0
1751195538457,61.1226,62.6616,0.0,0.0
1751195538507,61.4646,62.6112,0.0,0.0
1751195538556,61.9038,62.6616,0.0,0.0
1751195538606,62.1,62.1,0.0,0.0
1751195538656,62.2944,61.6104,0.0,0.0
1751195538707,62.271,61.488,0.0,0.0
1751195538756,62.271,61.416,0.0,0.0
1751195538807,62.271,61.4394,0.0,0.0
1751195538857,62.3196,61.587,0.0,0.0
1751195538906,62.2206,61.6104,0.0,0.0
1751195538956,62.2206,61.758,0.0,0.0
