t,Daughter_5_T_8,Daughter_5_T_7,Daughter_5_T_6,Daughter_5_T_5,Daughter_5_T_4,Daughter_5_T_3,Daughter_5_T_2,Daughter_5_T_1
1751195521.176250,31.000000,30.500000,31.000000,31.000000,30.500000,31.000000,30.500000,-38.000000
1751195521.228800,31.000000,30.500000,31.000000,31.000000,30.500000,31.000000,31.000000,-40.000000
1751195521.281300,31.000000,30.500000,31.000000,31.000000,30.500000,31.000000,30.500000,-39.500000
1751195521.322550,31.000000,30.500000,31.000000,31.000000,30.500000,31.000000,31.000000,-39.500000
1751195521.375100,31.000000,30.500000,31.000000,31.000000,30.500000,31.000000,30.500000,-37.500000
1751195521.427650,30.500000,30.500000,31.000000,31.000000,30.500000,31.000000,30.500000,-36.500000
1751195521.480150,31.000000,30.500000,31.000000,31.000000,30.500000,31.000000,30.500000,-38.000000
1751195521.521350,31.000000,30.500000,31.000000,31.000000,30.500000,31.000000,30.500000,-38.000000
1751195521.573850,31.000000,30.500000,31.000000,31.000000,30.500000,31.000000,30.500000,-38.000000
1751195521.626350,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-40.000000
1751195521.678900,31.000000,30.500000,31.000000,31.000000,30.500000,31.000000,31.000000,87.500000
1751195521.731400,31.000000,30.500000,31.000000,31.000000,30.500000,31.000000,31.000000,-40.000000
1751195521.772650,31.000000,30.500000,31.000000,31.000000,30.500000,31.000000,31.000000,-38.000000
1751195521.825150,31.000000,30.500000,31.000000,31.000000,30.500000,31.000000,30.500000,-37.500000
1751195521.877750,30.500000,30.500000,31.000000,31.000000,30.500000,31.000000,30.500000,-36.000000
1751195521.930300,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-38.000000
1751195521.971500,30.500000,30.500000,31.000000,31.000000,30.500000,31.000000,30.500000,-38.500000
1751195522.023950,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-37.500000
1751195522.076400,31.000000,30.500000,31.000000,31.000000,30.500000,31.000000,30.500000,-39.000000
1751195522.129000,30.500000,30.500000,31.000000,31.000000,30.500000,31.000000,30.500000,-40.000000
1751195522.181450,31.000000,30.500000,31.000000,31.000000,30.500000,31.000000,30.500000,-38.000000
1751195522.222750,30.500000,30.500000,31.000000,31.000000,30.500000,31.000000,30.500000,87.500000
1751195522.275250,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,-37.000000
1751195522.327750,31.000000,30.500000,31.000000,31.000000,30.500000,31.000000,31.000000,-40.000000
1751195522.380300,31.000000,30.500000,31.000000,31.000000,30.500000,31.000000,31.000000,-37.500000
