t,Cell_Voltage_096,Cell_Voltage_095,Cell_Voltage_094,Cell_Voltage_093,Cell_Voltage_092,Cell_Voltage_091,Cell_Voltage_090,Cell_Voltage_089
1751195521.172400,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195521.224950,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195521.277450,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195521.318750,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195521.371300,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195521.423800,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195521.476300,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195521.517600,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195521.570100,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195521.622450,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195521.675000,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195521.727650,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195521.768850,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195521.821300,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195521.873900,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195521.926450,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195521.967750,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195522.020200,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195522.072550,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195522.125150,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195522.177700,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195522.218900,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195522.271400,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195522.323850,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195522.376450,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195522.417700,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195522.470200,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
1751195522.522550,4.010000,4.010000,4.040000,4.040000,4.010000,4.020000,4.010000,4.010000
