t,Daughter_4_T_8,Daughter_4_T_7,Daughter_4_T_6,Daughter_4_T_5,Daughter_4_T_4,Daughter_4_T_3,Daughter_4_T_2,Daughter_4_T_1
1751195521.176050,30.500000,30.500000,30.500000,31.000000,30.500000,31.000000,30.500000,-34.500000
1751195521.228550,31.000000,31.000000,31.000000,31.000000,30.500000,31.000000,30.500000,-35.000000
1751195521.281050,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,-36.500000
1751195521.322350,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,-37.000000
1751195521.374900,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,30.500000,-35.500000
1751195521.427400,31.000000,30.500000,31.000000,31.000000,31.000000,31.000000,30.500000,-35.500000
1751195521.479950,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,-36.000000
1751195521.521150,30.500000,30.500000,30.500000,31.000000,30.500000,31.000000,30.500000,-35.000000
1751195521.573600,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,-36.500000
1751195521.626100,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,30.500000,-34.500000
1751195521.678650,30.500000,30.500000,30.500000,31.000000,30.500000,31.000000,30.500000,-35.500000
1751195521.731150,31.000000,30.500000,30.500000,31.000000,30.500000,31.000000,30.500000,-35.500000
1751195521.772450,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,-34.500000
1751195521.824900,30.500000,30.500000,30.500000,31.000000,30.500000,31.000000,30.500000,-37.500000
1751195521.877500,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,-34.500000
1751195521.930050,31.000000,31.000000,31.000000,31.000000,30.500000,31.000000,30.500000,-33.000000
1751195521.971250,30.500000,30.500000,30.500000,31.000000,30.500000,31.000000,30.500000,-33.000000
1751195522.023700,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,-38.000000
1751195522.076200,30.500000,30.500000,30.500000,31.000000,30.500000,31.000000,30.500000,-37.500000
1751195522.128750,31.000000,30.500000,30.500000,31.000000,30.500000,31.000000,30.500000,-37.500000
1751195522.181250,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,30.500000,-33.000000
1751195522.222550,31.000000,30.500000,30.500000,31.000000,30.500000,31.000000,30.500000,-37.000000
1751195522.275000,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,-37.000000
1751195522.327500,30.500000,30.500000,30.500000,31.000000,30.500000,30.500000,30.500000,-35.000000
1751195522.380050,30.500000,30.500000,30.500000,31.000000,30.500000,31.000000,30.500000,-33.500000
1751195522.421250,31.000000,31.000000,30.500000,31.000000,30.500000,31.000000,30.500000,-37.000000
