t,sensor_apps_valid,sensor_brake_pressure_f,sensor_wheel_speed_fr,sensor_wheel_speed_fl,sensor_steering_angle,sensor_brake_pressure_r,sensor_apps
1751195522.706350,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195522.756550,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195522.806450,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195522.856200,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195522.906400,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195522.956100,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195523.006600,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195523.056600,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195523.106100,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195523.156100,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195523.206050,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195523.256250,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195523.306100,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195523.356250,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195523.406150,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195523.456100,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195523.506150,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195523.556350,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195523.606500,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195523.656300,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195523.706250,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195523.756300,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195523.806550,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195523.856350,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195523.906250,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195523.956500,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195524.006350,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195524.056600,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195524.106550,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195524.156500,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195524.206600,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195524.256350,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195524.306150,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195524.356300,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195524.406450,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195524.456400,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195524.506350,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195524.556600,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195524.606100,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195524.656150,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195524.706450,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195524.756300,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195524.806150,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195524.856650,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195524.906600,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195524.956100,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195525.006600,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195525.056600,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195525.106650,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195525.156300,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195525.206150,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195525.256250,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195525.306200,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195525.356600,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195525.406200,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195525.456250,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195525.506050,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195525.556250,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195525.606050,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195525.656850,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195525.706200,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195525.756100,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195525.806600,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195525.906850,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195525.956600,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195526.006250,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195526.056600,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195526.106850,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195526.156200,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195526.206600,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195526.256850,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195526.306600,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195526.356250,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195526.406600,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195526.456550,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195526.506850,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195526.556800,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
