t,ams_temp_max_9
1751195521.175100,31.500000
1751195521.227650,31.500000
1751195521.280150,31.500000
1751195521.321400,31.500000
1751195521.373950,31.500000
1751195521.426500,31.500000
1751195521.479000,31.500000
1751195521.520300,31.500000
1751195521.572700,31.500000
1751195521.625150,31.500000
1751195521.677750,31.500000
1751195521.730300,31.500000
1751195521.771500,31.500000
1751195521.824000,31.500000
1751195521.876600,31.500000
1751195521.929150,31.500000
1751195521.970450,31.500000
1751195522.022800,31.500000
1751195522.075300,31.500000
1751195522.127850,31.500000
1751195522.180400,31.500000
1751195522.221600,31.500000
1751195522.274100,31.500000
1751195522.326550,31.500000
1751195522.379100,31.500000
1751195522.420400,31.500000
1751195522.472800,31.500000
1751195522.525250,31.500000
1751195522.577800,31.500000
1751195522.630350,31.500000
1751195522.671550,31.500000
1751195522.724050,31.500000
1751195522.776500,31.500000
1751195522.829050,31.500000
1751195522.870350,31.500000
1751195522.922750,31.500000
1751195522.975200,31.500000
1751195523.027750,31.500000
1751195523.080300,31.500000
1751195523.121500,31.500000
1751195523.173950,31.500000
1751195523.226550,31.500000
1751195523.279100,31.500000
1751195523.320400,31.500000
1751195523.372750,31.500000
1751195523.425250,31.500000
1751195523.477800,31.500000
1751195523.530350,31.500000
1751195523.571550,31.500000
1751195523.624050,31.500000
1751195523.676650,31.500000
1751195523.729200,31.500000
1751195523.770500,31.500000
1751195523.822850,31.500000
1751195523.875300,31.500000
1751195523.927900,31.500000
1751195523.980450,31.500000
1751195524.021650,31.500000
1751195524.074100,31.500000
1751195524.126700,31.500000
1751195524.179250,31.500000
1751195524.220500,31.500000
1751195524.272900,31.500000
1751195524.325400,31.500000
1751195524.377950,31.500000
1751195524.430500,31.500000
1751195524.471600,31.500000
1751195524.524100,31.500000
1751195524.576550,31.500000
1751195524.629100,31.500000
1751195524.670400,31.500000
1751195524.722800,31.500000
1751195524.775250,31.500000
1751195524.827800,31.500000
1751195524.880350,31.500000
1751195524.921550,31.500000
1751195524.974000,31.500000
1751195525.026500,31.500000
1751195525.079050,31.500000
1751195525.120350,31.500000
1751195525.172700,31.500000
1751195525.225150,31.500000
1751195525.277750,31.500000
1751195525.330300,31.500000
1751195525.371450,31.500000
1751195525.423950,31.500000
1751195525.476450,31.500000
1751195525.529000,31.500000
1751195525.570250,31.500000
1751195525.622650,31.500000
1751195525.675100,31.500000
1751195525.727650,31.500000
1751195525.780200,31.500000
1751195525.821400,31.500000
1751195525.873900,31.500000
1751195525.926450,31.500000
1751195525.979000,31.500000
1751195526.020300,31.500000
1751195526.072700,31.500000
1751195526.125150,31.500000
1751195526.177700,31.500000
1751195526.230250,31.500000
1751195526.271450,31.500000
1751195526.323900,31.500000
1751195526.376400,31.500000
1751195526.428950,31.500000
1751195526.470200,31.500000
1751195526.522600,31.500000
1751195526.575050,31.500000
1751195526.627600,31.500000
1751195526.680200,31.500000
1751195526.721350,31.500000
1751195526.773850,31.500000
1751195526.826450,31.500000
1751195526.879000,31.500000
1751195526.920300,31.500000
1751195526.972700,31.500000
1751195527.025150,31.500000
1751195527.077700,31.500000
1751195527.130300,31.500000
1751195527.171500,31.500000
1751195527.223900,31.500000
1751195527.276400,31.500000
1751195527.328950,31.500000
1751195527.370250,31.500000
1751195527.422600,31.500000
1751195527.475050,31.500000
1751195527.527600,31.500000
1751195527.580200,31.500000
1751195527.621350,31.500000
1751195527.673850,31.500000
1751195527.726400,31.500000
1751195527.778950,31.500000
1751195527.820300,31.500000
1751195527.872650,31.500000
1751195527.925150,31.500000
1751195527.977700,31.500000
1751195528.030250,31.500000
1751195528.071450,31.500000
1751195528.123850,31.500000
1751195528.176350,31.500000
1751195528.228950,31.500000
1751195528.270250,31.500000
1751195528.322550,31.500000
1751195528.375050,31.500000
1751195528.427600,31.500000
1751195528.480200,31.500000
1751195528.521400,31.500000
1751195528.573850,31.500000
1751195528.626350,31.500000
1751195528.678900,31.500000
1751195528.720150,31.500000
1751195528.772550,31.500000
1751195528.825000,31.500000
1751195528.877550,31.500000
1751195528.930150,31.500000
1751195528.971300,31.500000
1751195529.023750,31.500000
1751195529.076350,31.500000
1751195529.128900,31.500000
1751195529.170250,31.500000
1751195529.222550,31.500000
1751195529.275050,31.500000
1751195529.327600,31.500000
1751195529.380200,31.500000
1751195529.421400,31.500000
1751195529.473850,31.500000
1751195529.526350,31.500000
1751195529.578900,31.500000
1751195529.620200,31.500000
1751195529.672550,31.500000
1751195529.725050,31.500000
1751195529.777600,31.500000
1751195529.830150,31.500000
1751195529.871350,31.500000
1751195529.923850,31.500000
1751195529.976300,31.500000
1751195530.028850,31.500000
1751195530.070150,31.500000
1751195530.122550,31.500000
1751195530.175000,31.500000
1751195530.227550,31.500000
1751195530.280150,31.500000
1751195530.321350,31.500000
1751195530.373800,31.500000
1751195530.426300,31.500000
1751195530.478900,31.500000
1751195530.520150,31.500000
1751195530.572550,31.500000
1751195530.625050,31.500000
1751195530.677600,31.500000
1751195530.730150,31.500000
1751195530.771300,31.500000
