t,Cell_Voltage_080,Cell_Voltage_079,Cell_Voltage_078,Cell_Voltage_077,Cell_Voltage_076,Cell_Voltage_075,Cell_Voltage_074,Cell_Voltage_073
1751195521.171950,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195521.224500,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195521.277000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195521.318250,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195521.370800,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195521.423350,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195521.475850,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195521.517150,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195521.569650,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195521.622000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195521.674600,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195521.727150,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195521.768350,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195521.873450,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195521.926000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195521.967300,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195522.019750,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195522.072150,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195522.124700,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195522.177250,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195522.218450,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195522.323450,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195522.376000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195522.417250,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195522.469750,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195522.522150,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195522.574650,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195522.627250,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195522.668450,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195522.773400,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195522.825950,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195522.867200,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195522.919700,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195522.972050,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195523.024650,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195523.077200,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195523.118400,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195523.223400,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195523.275950,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195523.317300,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195523.369700,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195523.422100,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195523.474650,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195523.527200,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195523.568400,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195523.673500,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195523.726050,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195523.767350,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195523.819800,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195523.872200,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195523.924750,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195523.977300,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195524.018500,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195524.123550,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195524.176100,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195524.217400,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195524.269850,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195524.322250,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195524.374800,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195524.427350,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195524.468550,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195524.520950,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195524.573400,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195524.626000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195524.667250,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195524.719750,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195524.772150,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
1751195524.824650,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000,4.020000
