t,Cell_Voltage_048,Cell_Voltage_047,Cell_Voltage_046,Cell_Voltage_045,Cell_Voltage_044,Cell_Voltage_043,Cell_Voltage_042,Cell_Voltage_041
1751195523.976400,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195524.017600,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195524.070150,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195524.122650,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195524.175200,4.020000,4.020000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195524.216500,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195524.268950,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195524.321350,4.020000,4.020000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195524.373900,4.020000,4.020000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195524.426450,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195524.467650,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195524.520100,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195524.572500,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195524.625050,4.020000,4.020000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195524.666300,4.020000,4.020000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195524.718800,4.020000,4.020000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195524.771200,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195524.823750,4.020000,4.020000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195524.876300,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195524.917500,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195524.970050,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195525.022450,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195525.075000,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195525.116250,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195525.168750,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195525.221150,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195525.273700,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195525.326250,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195525.367450,4.020000,4.020000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195525.420000,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195525.472400,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195525.524950,4.020000,4.020000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195525.566200,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195525.618700,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195525.671050,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195525.723600,4.020000,4.020000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195525.776150,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195525.817400,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195525.869950,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195525.922400,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195525.975000,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195526.016250,4.020000,4.020000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195526.068750,4.020000,4.020000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195526.121100,4.020000,4.020000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195526.173700,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195526.226200,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195526.267450,4.020000,4.020000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195526.320000,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195526.372350,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195526.424900,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195526.466200,4.020000,4.020000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195526.518650,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195526.571000,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
1751195526.623550,4.020000,4.030000,4.040000,4.040000,4.020000,4.020000,4.020000,4.020000
