t,ams_voltage_max_9
1751195523.648450,3.990000
1751195523.659750,3.990000
1751195523.671050,3.990000
1751195523.689750,3.990000
1751195523.700950,3.990000
1751195523.712300,3.990000
1751195523.723600,3.990000
1751195523.742300,3.990000
1751195523.753600,3.990000
1751195523.764850,3.990000
1751195523.783550,3.990000
1751195523.794800,3.990000
1751195523.806050,3.990000
1751195523.817350,3.990000
1751195523.836000,3.990000
1751195523.847250,3.990000
1751195523.858550,3.990000
1751195523.869800,3.990000
1751195523.888450,3.990000
1751195523.899750,3.990000
1751195523.911050,3.990000
1751195523.922250,3.990000
1751195523.940900,3.990000
1751195523.952300,3.990000
1751195523.963550,3.990000
1751195523.974850,3.990000
1751195523.993450,3.990000
1751195524.004750,3.990000
1751195524.016050,3.990000
1751195524.034750,3.990000
1751195524.046000,3.990000
1751195524.057300,3.990000
1751195524.068550,3.990000
1751195524.087250,3.990000
1751195524.098500,3.990000
1751195524.109750,3.990000
1751195524.121100,3.990000
1751195524.139850,3.990000
1751195524.151100,3.990000
1751195524.162350,3.990000
1751195524.173650,3.990000
1751195524.192400,3.990000
1751195524.203650,3.990000
1751195524.214950,3.990000
1751195524.233600,3.990000
1751195524.244850,3.990000
1751195524.256150,3.990000
1751195524.267400,3.990000
1751195524.286050,3.990000
1751195524.297300,3.990000
1751195524.308550,3.990000
1751195524.319850,3.990000
1751195524.338550,3.990000
1751195524.349800,3.990000
1751195524.361100,3.990000
1751195524.372350,3.990000
1751195524.391100,3.990000
1751195524.402350,3.990000
1751195524.413650,3.990000
1751195524.424900,3.990000
1751195524.443550,3.990000
1751195524.454850,3.990000
1751195524.466100,3.990000
1751195524.484700,3.990000
1751195524.496000,3.990000
1751195524.507250,3.990000
1751195524.518550,3.990000
1751195524.537200,3.990000
1751195524.548450,3.990000
1751195524.559750,3.990000
1751195524.570900,3.990000
1751195524.589650,3.990000
1751195524.600850,3.990000
1751195524.612200,3.990000
1751195524.623500,3.990000
1751195524.642200,3.990000
1751195524.653500,3.990000
1751195524.664750,3.990000
1751195524.683450,3.990000
1751195524.694700,3.990000
1751195524.705950,3.990000
1751195524.717250,3.990000
1751195524.735950,3.990000
1751195524.747200,3.990000
1751195524.758450,3.990000
1751195524.769750,3.990000
1751195524.788350,3.990000
1751195524.799650,3.990000
1751195524.810850,3.990000
1751195524.822200,3.990000
1751195524.840800,3.990000
1751195524.852200,3.990000
1751195524.863500,3.990000
1751195524.874750,3.990000
1751195524.893400,3.990000
1751195524.904650,3.990000
1751195524.915950,3.990000
1751195524.934700,3.990000
1751195524.945950,3.990000
1751195524.957200,3.990000
1751195524.968500,3.990000
1751195524.987150,3.990000
1751195524.998400,3.990000
1751195525.009700,3.990000
1751195525.020850,3.990000
1751195525.039650,3.990000
1751195525.050800,3.990000
1751195525.062200,3.990000
1751195525.073450,3.990000
1751195525.092200,3.990000
1751195525.103450,3.990000
1751195525.114750,3.990000
1751195525.133350,3.990000
1751195525.144600,3.990000
1751195525.155900,3.990000
1751195525.167200,3.990000
1751195525.185800,3.990000
1751195525.197100,3.990000
1751195525.208350,3.990000
1751195525.219650,3.990000
1751195525.238300,3.990000
1751195525.249550,3.990000
1751195525.272150,3.990000
1751195525.302100,3.990000
1751195525.313400,3.990000
1751195525.324700,3.990000
1751195525.343300,3.990000
1751195525.354600,3.990000
1751195525.365900,3.990000
1751195525.384600,3.990000
1751195525.395900,3.990000
1751195525.407150,3.990000
1751195525.418450,3.990000
1751195525.437050,3.990000
1751195525.448350,3.990000
1751195525.459650,3.990000
1751195525.470850,3.990000
1751195525.489550,3.990000
1751195525.512100,3.990000
1751195525.523400,3.990000
1751195525.542100,3.990000
1751195525.553400,3.990000
1751195525.564650,3.990000
1751195525.583300,3.990000
1751195525.594550,3.990000
1751195525.605850,3.990000
1751195525.617150,3.990000
1751195525.635750,3.990000
1751195525.647050,3.990000
1751195525.658300,3.990000
1751195525.669600,3.990000
1751195525.688250,3.990000
1751195525.699500,3.990000
1751195525.722050,3.990000
1751195525.752050,3.990000
1751195525.763350,3.990000
1751195525.774600,3.990000
1751195525.793250,3.990000
1751195525.804500,3.990000
1751195525.815800,3.990000
1751195525.834550,3.990000
1751195525.845800,3.990000
1751195525.857100,3.990000
1751195525.868400,3.990000
1751195525.887000,3.990000
1751195525.898300,3.990000
1751195525.909550,3.990000
1751195525.939600,3.990000
1751195525.950800,3.990000
1751195525.962150,3.990000
1751195525.973400,3.990000
1751195525.992150,3.990000
1751195526.003400,3.990000
1751195526.014700,3.990000
1751195526.033350,3.990000
1751195526.044600,3.990000
1751195526.055900,3.990000
1751195526.067150,3.990000
1751195526.085800,3.990000
1751195526.097100,3.990000
1751195526.108350,3.990000
1751195526.119650,3.990000
1751195526.138300,3.990000
1751195526.149550,3.990000
1751195526.172100,3.990000
1751195526.202100,3.990000
1751195526.213400,3.990000
1751195526.224650,3.990000
1751195526.243300,3.990000
1751195526.254600,3.990000
1751195526.265850,3.990000
1751195526.284600,3.990000
1751195526.295850,3.990000
1751195526.307150,3.990000
1751195526.318400,3.990000
1751195526.337050,3.990000
1751195526.348350,3.990000
1751195526.359600,3.990000
1751195526.370800,3.990000
1751195526.389550,3.990000
1751195526.412100,3.990000
1751195526.423350,3.990000
1751195526.442100,3.990000
1751195526.453350,3.990000
1751195526.464650,3.990000
1751195526.483300,3.990000
1751195526.494550,3.990000
1751195526.505850,3.990000
1751195526.517100,3.990000
1751195526.535750,3.990000
1751195526.547050,3.990000
1751195526.558300,3.990000
1751195526.569550,3.990000
1751195526.588250,3.990000
1751195526.599500,3.990000
1751195526.622050,3.990000
1751195526.652050,3.990000
1751195526.663300,3.990000
1751195526.674600,3.990000
1751195526.693250,3.990000
1751195526.704500,3.990000
1751195526.715800,3.990000
1751195526.734500,3.990000
1751195526.745800,3.990000
1751195526.757050,3.990000
1751195526.768350,3.990000
1751195526.787000,3.990000
1751195526.798250,3.990000
1751195526.809550,3.990000
1751195526.839600,3.990000
1751195526.850750,3.990000
1751195526.862100,3.990000
1751195526.873400,3.990000
1751195526.892150,3.990000
1751195526.903400,3.990000
1751195526.914700,3.990000
1751195526.933300,3.990000
1751195526.944600,3.990000
1751195526.955850,3.990000
1751195526.967150,3.990000
1751195526.985800,3.990000
1751195526.997050,3.990000
1751195527.008350,3.990000
1751195527.019600,3.990000
1751195527.038250,3.990000
1751195527.049550,3.990000
1751195527.072100,3.990000
1751195527.090750,3.990000
1751195527.102100,3.990000
1751195527.113350,3.990000
1751195527.124650,3.990000
1751195527.143300,3.990000
1751195527.154600,3.990000
1751195527.165850,3.990000
1751195527.184600,3.990000
1751195527.195850,3.990000
1751195527.207150,3.990000
1751195527.218400,3.990000
1751195527.237050,3.990000
1751195527.248350,3.990000
1751195527.259600,3.990000
1751195527.270800,3.990000
1751195527.289500,3.990000
1751195527.312050,3.990000
1751195527.323350,3.990000
1751195527.342050,3.990000
1751195527.353350,3.990000
1751195527.364650,3.990000
1751195527.383250,3.990000
1751195527.394550,3.990000
1751195527.405800,3.990000
1751195527.417100,3.990000
1751195527.435750,3.990000
1751195527.447000,3.990000
1751195527.458300,3.990000
1751195527.469550,3.990000
1751195527.488200,3.990000
1751195527.499500,3.990000
1751195527.522000,3.990000
1751195527.552050,3.990000
1751195527.563300,3.990000
1751195527.574600,3.990000
1751195527.593250,3.990000
1751195527.604500,3.990000
1751195527.615800,3.990000
1751195527.634500,3.990000
1751195527.645800,3.990000
1751195527.657050,3.990000
1751195527.668350,3.990000
1751195527.687000,3.990000
1751195527.698250,3.990000
1751195527.709550,3.990000
1751195527.739550,3.990000
1751195527.762100,3.990000
1751195527.773400,3.990000
1751195527.792100,3.990000
1751195527.803400,3.990000
1751195527.814650,3.990000
1751195527.833300,3.990000
1751195527.844600,3.990000
1751195527.855850,3.990000
1751195527.867150,3.990000
1751195527.885800,3.990000
1751195527.897050,3.990000
1751195527.908350,3.990000
1751195527.919600,3.990000
1751195527.938250,3.990000
1751195527.949500,3.990000
1751195527.972100,3.990000
1751195527.990700,3.990000
1751195528.002100,3.990000
1751195528.013350,3.990000
1751195528.024650,3.990000
1751195528.043250,3.990000
1751195528.054550,3.990000
1751195528.065850,3.990000
1751195528.084550,3.990000
1751195528.095850,3.990000
1751195528.107100,3.990000
1751195528.118400,3.990000
1751195528.137000,3.990000
1751195528.148300,3.990000
1751195528.159600,3.990000
1751195528.170800,3.990000
1751195528.189500,3.980000
1751195528.212050,3.990000
1751195528.223350,3.990000
1751195528.242050,3.990000
1751195528.253350,3.990000
1751195528.264650,3.990000
1751195528.283250,3.990000
1751195528.294550,3.990000
1751195528.305800,3.990000
1751195528.317100,3.990000
1751195528.335700,3.990000
1751195528.347000,3.990000
1751195528.358300,3.990000
1751195528.369550,3.990000
1751195528.388200,3.990000
1751195528.399500,3.990000
1751195528.422050,3.990000
1751195528.452050,3.990000
1751195528.463300,3.990000
1751195528.474600,3.990000
1751195528.493250,3.990000
1751195528.504500,3.990000
1751195528.515800,3.990000
1751195528.534500,3.990000
1751195528.545800,3.990000
1751195528.557050,3.990000
1751195528.568350,3.990000
1751195528.587000,3.990000
1751195528.598250,3.990000
1751195528.609550,3.990000
1751195528.620750,3.990000
1751195528.639450,3.990000
1751195528.662000,3.990000
1751195528.673300,3.990000
1751195528.692000,3.990000
1751195528.703300,3.990000
1751195528.714550,3.990000
1751195528.733200,3.990000
1751195528.744500,3.990000
1751195528.755750,3.990000
1751195528.767050,3.990000
1751195528.785700,3.990000
1751195528.796950,3.990000
1751195528.808250,3.990000
1751195528.819500,3.990000
1751195528.838150,3.990000
1751195528.849400,3.990000
1751195528.872000,3.990000
1751195528.902000,3.990000
1751195528.913250,3.990000
1751195528.924550,3.990000
1751195528.943200,3.990000
1751195528.954450,3.990000
1751195528.965700,3.990000
1751195528.984450,3.990000
1751195528.995700,3.990000
1751195529.007000,3.990000
1751195529.018250,3.990000
1751195529.036900,3.990000
1751195529.048200,3.990000
1751195529.059500,3.990000
1751195529.089500,3.990000
1751195529.112050,3.990000
1751195529.123300,3.990000
1751195529.142050,3.990000
1751195529.153300,3.990000
1751195529.164600,3.990000
1751195529.183250,3.990000
1751195529.194500,3.990000
1751195529.205800,3.990000
1751195529.217050,3.990000
1751195529.235700,3.990000
1751195529.247000,3.990000
1751195529.258250,3.990000
1751195529.269550,3.990000
1751195529.288200,3.990000
1751195529.299450,3.990000
1751195529.322000,3.990000
1751195529.352000,3.990000
1751195529.363300,3.990000
1751195529.374600,3.990000
1751195529.393200,3.990000
1751195529.404500,3.990000
1751195529.415750,3.990000
1751195529.434500,3.990000
1751195529.445800,3.990000
1751195529.457050,3.990000
1751195529.468350,3.990000
1751195529.486950,3.990000
1751195529.498250,3.990000
1751195529.509500,3.990000
1751195529.520700,3.990000
1751195529.539450,3.990000
1751195529.562000,3.990000
1751195529.573250,3.990000
1751195529.592050,3.990000
1751195529.603350,3.990000
1751195529.614600,3.990000
1751195529.633200,3.990000
1751195529.644500,3.990000
1751195529.655800,3.990000
1751195529.667050,3.990000
1751195529.685650,3.990000
1751195529.696950,3.990000
1751195529.708250,3.990000
1751195529.719550,3.990000
1751195529.738150,3.990000
1751195529.749400,3.990000
1751195529.772000,3.990000
1751195529.802000,3.990000
1751195529.813250,3.990000
1751195529.824550,3.990000
1751195529.843200,3.990000
1751195529.854450,3.990000
1751195529.865750,3.990000
1751195529.884500,3.990000
1751195529.895750,3.990000
1751195529.907050,3.990000
1751195529.918300,3.990000
1751195529.936950,3.990000
1751195529.948250,3.990000
1751195529.959500,3.990000
1751195529.970700,3.990000
1751195529.989400,3.990000
1751195530.012000,3.990000
1751195530.023300,3.990000
1751195530.042000,3.990000
1751195530.053300,3.990000
1751195530.064600,3.990000
1751195530.083200,3.990000
1751195530.094500,3.990000
1751195530.105750,3.990000
1751195530.117050,3.990000
1751195530.135700,3.990000
1751195530.146950,3.990000
1751195530.158250,3.990000
1751195530.169500,3.990000
1751195530.188150,3.990000
1751195530.199450,3.990000
1751195530.222000,3.990000
1751195530.252000,3.990000
1751195530.263300,3.990000
1751195530.274550,3.990000
1751195530.293200,3.990000
1751195530.304450,3.990000
1751195530.315750,3.990000
1751195530.334450,3.990000
1751195530.345750,3.990000
1751195530.357050,3.990000
1751195530.368300,3.990000
1751195530.386950,3.990000
1751195530.398200,3.990000
1751195530.409500,3.990000
1751195530.420700,3.990000
1751195530.439450,3.990000
1751195530.462000,3.990000
1751195530.473250,3.990000
1751195530.492000,3.990000
1751195530.503300,3.990000
1751195530.514550,3.990000
1751195530.533200,3.990000
1751195530.544500,3.990000
1751195530.555800,3.990000
1751195530.567050,3.990000
1751195530.585700,3.990000
1751195530.597000,3.990000
1751195530.608250,3.990000
1751195530.619550,3.990000
1751195530.638150,3.990000
1751195530.649400,3.990000
1751195530.672000,3.990000
1751195530.702000,3.990000
1751195530.713250,3.990000
1751195530.724550,3.990000
1751195530.743150,3.990000
1751195530.754450,3.990000
1751195530.765700,3.990000
1751195530.784450,3.990000
1751195530.795750,3.990000
1751195530.807000,3.990000
1751195530.818250,3.990000
1751195530.836900,3.990000
1751195530.848200,3.990000
1751195530.859450,3.990000
1751195530.889450,3.990000
1751195530.900700,3.990000
1751195530.912050,3.990000
1751195530.923300,3.990000
1751195530.942050,3.990000
1751195530.953350,3.990000
1751195530.964650,3.990000
1751195530.983300,3.990000
1751195530.994550,3.990000
1751195531.005800,3.990000
1751195531.017100,3.990000
1751195531.035750,3.990000
1751195531.047000,3.990000
1751195531.058300,3.990000
1751195531.069550,3.990000
1751195531.088200,3.990000
1751195531.099500,3.990000
1751195531.110650,3.990000
1751195531.122050,3.990000
1751195531.140700,3.990000
1751195531.152050,3.990000
1751195531.163350,3.990000
1751195531.174600,3.990000
1751195531.193250,3.990000
1751195531.204550,3.990000
1751195531.215800,3.990000
1751195531.234550,3.990000
1751195531.245800,3.990000
1751195531.257100,3.990000
1751195531.268350,3.990000
1751195531.287000,3.990000
1751195531.298300,3.990000
1751195531.309550,3.990000
1751195531.320750,3.990000
1751195531.339500,3.990000
1751195531.350700,3.990000
1751195531.362050,3.990000
1751195531.373300,3.990000
1751195531.392050,3.990000
1751195531.403350,3.990000
1751195531.414600,3.990000
1751195531.433250,3.990000
1751195531.444500,3.990000
1751195531.455800,3.990000
1751195531.467050,3.990000
1751195531.485700,3.990000
1751195531.497000,3.990000
1751195531.508250,3.990000
1751195531.519550,3.990000
1751195531.538200,3.990000
1751195531.549450,3.990000
1751195531.560650,3.990000
1751195531.572000,3.990000
1751195531.590650,3.990000
1751195531.602000,3.990000
1751195531.613300,3.990000
1751195531.624600,3.990000
1751195531.643250,3.990000
1751195531.654500,3.990000
1751195531.665750,3.990000
1751195531.684500,3.990000
1751195531.695800,3.990000
1751195531.707050,3.990000
1751195531.718300,3.990000
1751195531.737000,3.990000
1751195531.748250,3.990000
1751195531.759500,3.990000
1751195531.770700,3.990000
1751195531.789450,3.990000
1751195531.800650,3.990000
1751195531.812000,3.990000
1751195531.823300,3.990000
1751195531.842000,3.990000
1751195531.853350,3.990000
1751195531.864600,3.990000
1751195531.883200,3.990000
1751195531.894500,3.990000
1751195531.905750,3.990000
1751195531.917050,3.990000
1751195531.935700,3.990000
1751195531.946950,3.990000
1751195531.958250,3.990000
1751195531.969500,3.990000
1751195531.988200,3.990000
1751195531.999450,3.990000
1751195532.022000,3.990000
1751195532.040650,3.990000
1751195532.052050,3.990000
1751195532.063300,3.990000
1751195532.074600,3.990000
1751195532.093250,3.990000
1751195532.104500,3.990000
1751195532.115800,3.990000
1751195532.134500,3.990000
1751195532.145800,3.990000
1751195532.157050,3.990000
1751195532.168350,3.990000
1751195532.187000,3.990000
1751195532.198250,3.990000
1751195532.209550,3.990000
1751195532.220750,3.990000
1751195532.239450,3.990000
1751195532.250650,3.990000
1751195532.262000,3.990000
1751195532.273300,3.990000
1751195532.292050,3.990000
1751195532.303300,3.990000
1751195532.314600,3.990000
1751195532.333200,3.990000
1751195532.344500,3.990000
1751195532.355750,3.990000
1751195532.367050,3.990000
1751195532.385700,3.990000
1751195532.396950,3.990000
1751195532.408250,3.990000
1751195532.419550,3.990000
1751195532.438150,3.990000
1751195532.449450,3.990000
1751195532.460650,3.990000
1751195532.472000,3.990000
1751195532.490650,3.990000
1751195532.502000,3.990000
1751195532.513300,3.990000
1751195532.524550,3.990000
1751195532.543200,3.990000
1751195532.554450,3.990000
1751195532.565750,3.990000
1751195532.584500,3.990000
1751195532.595750,3.990000
1751195532.607050,3.990000
1751195532.618300,3.990000
1751195532.636950,3.990000
1751195532.648250,3.990000
1751195532.659500,3.990000
1751195532.670700,3.990000
1751195532.689400,3.990000
1751195532.700600,3.990000
1751195532.712000,3.990000
1751195532.723250,3.990000
1751195532.742000,3.990000
1751195532.753300,3.990000
1751195532.764550,3.990000
1751195532.783150,3.990000
1751195532.794450,3.990000
1751195532.805750,3.990000
1751195532.817000,3.990000
1751195532.835650,3.990000
1751195532.846950,3.990000
1751195532.858200,3.990000
1751195532.869500,3.990000
1751195532.888150,3.990000
1751195532.899450,3.990000
1751195532.910650,3.990000
1751195532.922000,3.990000
1751195532.940650,3.990000
1751195532.952050,3.990000
1751195532.963300,3.990000
1751195532.974600,3.990000
1751195532.993250,3.990000
1751195533.004500,3.990000
1751195533.015800,3.990000
1751195533.034500,3.990000
1751195533.045800,3.990000
1751195533.057050,3.990000
1751195533.068350,3.990000
1751195533.086950,3.990000
1751195533.098250,3.990000
1751195533.109550,3.990000
1751195533.120750,3.990000
1751195533.139450,3.990000
1751195533.150600,3.990000
1751195533.162000,3.990000
1751195533.173300,3.990000
1751195533.192000,3.990000
1751195533.203300,3.990000
1751195533.214550,3.990000
1751195533.233200,3.990000
1751195533.244500,3.990000
1751195533.255750,3.990000
1751195533.267050,3.990000
1751195533.285700,3.990000
1751195533.296950,3.990000
1751195533.308250,3.990000
1751195533.319500,3.990000
1751195533.338150,3.990000
1751195533.349450,3.990000
1751195533.360650,3.990000
1751195533.372000,3.990000
1751195533.390650,3.990000
1751195533.402000,3.990000
1751195533.413300,3.990000
1751195533.424550,3.990000
1751195533.443200,3.990000
1751195533.454450,3.990000
1751195533.465750,3.990000
1751195533.484450,3.990000
1751195533.495750,3.990000
1751195533.507000,3.990000
1751195533.518300,3.990000
1751195533.536950,3.990000
1751195533.548200,3.990000
1751195533.559500,3.990000
1751195533.570700,3.990000
1751195533.589400,3.990000
1751195533.611950,3.990000
1751195533.623250,3.990000
1751195533.641950,3.990000
1751195533.653250,3.990000
1751195533.664500,3.990000
1751195533.683150,3.990000
1751195533.694450,3.990000
1751195533.705700,3.990000
1751195533.717000,3.990000
1751195533.735650,3.990000
1751195533.746900,3.990000
1751195533.758200,3.990000
1751195533.769500,3.990000
1751195533.788150,3.990000
1751195533.799400,3.990000
1751195533.821950,3.990000
1751195533.851950,3.990000
1751195533.863250,3.990000
1751195533.874500,3.990000
1751195533.893150,3.990000
1751195533.904400,3.990000
1751195533.915700,3.990000
1751195533.934400,3.990000
1751195533.945700,3.990000
1751195533.957000,3.990000
1751195533.968300,3.990000
1751195533.986900,3.990000
1751195533.998150,3.990000
1751195534.009450,3.990000
1751195534.020650,3.990000
1751195534.039350,3.990000
1751195534.061900,3.990000
1751195534.073200,3.990000
1751195534.091900,3.990000
1751195534.103200,3.990000
1751195534.114500,3.990000
1751195534.133150,3.990000
1751195534.144400,3.990000
1751195534.155700,3.990000
1751195534.166950,3.990000
1751195534.185600,3.990000
1751195534.196900,3.990000
1751195534.208200,3.990000
1751195534.219450,3.990000
1751195534.238100,3.990000
1751195534.249400,3.990000
1751195534.271950,3.990000
1751195534.301950,3.990000
1751195534.313250,3.990000
1751195534.324500,3.990000
1751195534.343150,3.990000
1751195534.354400,3.990000
1751195534.365700,3.990000
1751195534.384450,3.990000
1751195534.395700,3.990000
