t,ams_voltage_min_8,ams_voltage_min_7,ams_voltage_min_6,ams_voltage_min_5,ams_voltage_min_4,ams_voltage_min_3,ams_voltage_min_2,ams_voltage_min_1
1751195522.035450,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.046750,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.058050,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.069300,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.087950,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.099250,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.110500,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.121750,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.140500,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.151800,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.163100,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.174350,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.193000,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.204250,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.215550,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.234300,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.245550,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.256850,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.268100,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.286750,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.298050,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.309300,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.320600,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.339250,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.350500,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.361800,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.373100,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.391800,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.403100,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.414350,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.433000,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.444250,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.455550,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.466850,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.485450,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.496750,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.508000,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.519300,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.537950,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.549200,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.560500,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.571750,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.590500,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.601800,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.613050,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.624350,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.642950,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.654250,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.665500,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.684250,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.695550,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.706800,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.718100,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.736700,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.748000,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.759300,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.770550,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.789200,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.800450,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.811750,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.823050,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.841750,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.853000,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.864300,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
